,2020-07-03,2020-10-02,2021-01-01,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01
Net Income,153000000.0,163000000.0,197000000.0,205000000.0,169000000.0,205000000.0,174000000.0,0.0
Change To Liabilities,-69000000.0,255000000.0,-60000000.0,-148000000.0,-199000000.0,175000000.0,-40000000.0,0.0
Total Cashflows From Investing Activities,-1014000000.0,-15000000.0,-101000000.0,-244000000.0,-396000000.0,-53000000.0,-37000000.0,
Net Borrowings,774000000.0,-477000000.0,224000000.0,-26000000.0,353000000.0,-27000000.0,-26000000.0,
Total Cash From Financing Activities,709000000.0,-517000000.0,98000000.0,-148000000.0,313000000.0,-209000000.0,-69000000.0,
Change To Operating Activities,60000000.0,211000000.0,-31000000.0,55000000.0,82000000.0,107000000.0,-133000000.0,
Issuance Of Stock,8000000.0,10000000.0,9000000.0,13000000.0,10000000.0,10000000.0,11000000.0,
Change In Cash,117000000.0,60000000.0,-55000000.0,-153000000.0,-66000000.0,303000000.0,104000000.0,
Repurchase Of Stock,-2000000.0,-1000000.0,-70000000.0,-123000000.0,-3000000.0,-140000000.0,-4000000.0,
Total Cash From Operating Activities,422000000.0,592000000.0,-52000000.0,239000000.0,17000000.0,565000000.0,210000000.0,
Depreciation,71000000.0,82000000.0,68000000.0,77000000.0,80000000.0,87000000.0,81000000.0,
Other Cashflows From Investing Activities,5000000.0,5000000.0,5000000.0,-4000000.0,-4000000.0,-4000000.0,-4000000.0,
Dividends Paid,-48000000.0,-49000000.0,-48000000.0,-50000000.0,-48000000.0,-51000000.0,-50000000.0,
Change To Account Receivables,137000000.0,-86000000.0,-267000000.0,-10000000.0,-79000000.0,-14000000.0,98000000.0,
Change To Netincome,38000000.0,18000000.0,20000000.0,7000000.0,18000000.0,24000000.0,-5000000.0,
Capital Expenditures,-46000000.0,-30000000.0,-63000000.0,-26000000.0,-21000000.0,-24000000.0,-33000000.0,
Other Cashflows From Financing Activities,-23000000.0,-17000000.0,-17000000.0,38000000.0,1000000.0,-1000000.0,,
