,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,1726000000.0,436000000.0,469000000.0,827000000.0,1450000000.0
Capital Surplus,8501000000.0,8154000000.0,7776000000.0,7561000000.0,7119000000.0
Total Liab,28207000000.0,26857000000.0,28359000000.0,29823000000.0,28336000000.0
Total Stockholder Equity,2465000000.0,3208000000.0,2996000000.0,2634000000.0,1973000000.0
Minority Interest,2440000000.0,2456000000.0,2293000000.0,2146000000.0,1829000000.0
Deferred Long Term Liab,542000000.0,547000000.0,530000000.0,587000000.0,834000000.0
Other Current Liab,1179000000.0,304000000.0,729000000.0,1437000000.0,796000000.0
Total Assets,33112000000.0,32521000000.0,33648000000.0,34603000000.0,32963000000.0
Common Stock,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0
Other Current Assets,2791000000.0,1071000000.0,1625000000.0,1989000000.0,1833000000.0
Retained Earnings,-2276000000.0,-1005000000.0,-692000000.0,-680000000.0,-1089000000.0
Other Liab,4378000000.0,4822000000.0,4697000000.0,5717000000.0,5978000000.0
Good Will,1059000000.0,1059000000.0,1059000000.0,1061000000.0,1177000000.0
Treasury Stock,-3768000000.0,-3949000000.0,-4096000000.0,-4255000000.0,-4065000000.0
Other Assets,2436000000.0,3501000000.0,3101000000.0,3365000000.0,3716000000.0
Cash,949000000.0,1166000000.0,1029000000.0,1089000000.0,943000000.0
Total Current Liabilities,6028000000.0,4399000000.0,5096000000.0,5362000000.0,4732000000.0
Deferred Long Term Asset Charges,130000000.0,97000000.0,156000000.0,288000000.0,409000000.0
Short Long Term Debt,2164000000.0,1659000000.0,1865000000.0,1426000000.0,1361000000.0
Other Stockholder Equity,-1876000000.0,-2071000000.0,-2229000000.0,-2397000000.0,-2220000000.0
Property Plant Equipment,20296000000.0,21396000000.0,22822000000.0,23101000000.0,20184000000.0
Total Current Assets,6398000000.0,5015000000.0,5231000000.0,5414000000.0,5356000000.0
Long Term Investments,1197000000.0,1114000000.0,966000000.0,835000000.0,1080000000.0
Net Tangible Assets,-320000000.0,1713000000.0,1468000000.0,746000000.0,-654000000.0
Short Term Investments,424000000.0,313000000.0,400000000.0,335000000.0,232000000.0
Net Receivables,1610000000.0,1758000000.0,1610000000.0,1438000000.0,1602000000.0
Long Term Debt,17801000000.0,17636000000.0,18238000000.0,18374000000.0,17204000000.0
Inventory,562000000.0,577000000.0,487000000.0,461000000.0,604000000.0
Accounts Payable,1371000000.0,1329000000.0,1311000000.0,1156000000.0,1153000000.0
