,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Intangible Assets,566000000.0,614000000.0,827000000.0,797000000.0,900000000.0,928000000.0,1450000000.0,1585000000.0
Capital Surplus,7670000000.0,7480000000.0,7561000000.0,7241000000.0,7211000000.0,7099000000.0,7119000000.0,6903000000.0
Total Liab,29864000000.0,30134000000.0,29823000000.0,29475000000.0,29270000000.0,29206000000.0,28336000000.0,29862000000.0
Total Stockholder Equity,2462000000.0,2004000000.0,2634000000.0,2334000000.0,2222000000.0,2439000000.0,1973000000.0,2206000000.0
Minority Interest,2240000000.0,2129000000.0,2146000000.0,2351000000.0,2192000000.0,2342000000.0,1829000000.0,1742000000.0
Other Current Liab,526000000.0,1130000000.0,1437000000.0,998000000.0,711000000.0,639000000.0,796000000.0,578000000.0
Total Assets,34566000000.0,34267000000.0,34603000000.0,35203000000.0,34727000000.0,35030000000.0,32963000000.0,34648000000.0
Common Stock,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0
Other Current Assets,2117000000.0,2018000000.0,1989000000.0,2271000000.0,2102000000.0,1999000000.0,1833000000.0,2251000000.0
Retained Earnings,-665000000.0,-998000000.0,-680000000.0,-828000000.0,-800000000.0,-457000000.0,-1089000000.0,-974000000.0
Other Liab,5084000000.0,4852000000.0,5717000000.0,6075000000.0,6269000000.0,6031000000.0,5978000000.0,6111000000.0
Good Will,1059000000.0,1059000000.0,1061000000.0,1146000000.0,1110000000.0,1110000000.0,1177000000.0,1182000000.0
Treasury Stock,-4551000000.0,-4486000000.0,-4255000000.0,-4087000000.0,-4197000000.0,-4211000000.0,-4065000000.0,-3731000000.0
Other Assets,3337000000.0,3635000000.0,3365000000.0,3740000000.0,3812000000.0,3733000000.0,3716000000.0,4205000000.0
Cash,1417000000.0,1505000000.0,1089000000.0,1886000000.0,1213000000.0,1411000000.0,943000000.0,1056000000.0
Total Current Liabilities,5448000000.0,5777000000.0,5362000000.0,5021000000.0,4337000000.0,4658000000.0,4732000000.0,5753000000.0
Deferred Long Term Asset Charges,204000000.0,336000000.0,288000000.0,235000000.0,300000000.0,314000000.0,409000000.0,385000000.0
Short Long Term Debt,2041000000.0,1841000000.0,1426000000.0,1505000000.0,1345000000.0,1494000000.0,1361000000.0,2254000000.0
Other Stockholder Equity,-2693000000.0,-2628000000.0,-2397000000.0,-2237000000.0,-2347000000.0,-2365000000.0,-2220000000.0,-1899000000.0
Property Plant Equipment,22836000000.0,22287000000.0,23101000000.0,22498000000.0,22582000000.0,22788000000.0,20184000000.0,20453000000.0
Total Current Assets,5966000000.0,5885000000.0,5414000000.0,6237000000.0,5530000000.0,5690000000.0,5356000000.0,6142000000.0
Long Term Investments,802000000.0,787000000.0,835000000.0,785000000.0,793000000.0,781000000.0,1080000000.0,1081000000.0
Net Tangible Assets,837000000.0,331000000.0,746000000.0,391000000.0,212000000.0,401000000.0,-654000000.0,-561000000.0
Short Term Investments,422000000.0,384000000.0,335000000.0,187000000.0,282000000.0,170000000.0,232000000.0,440000000.0
Net Receivables,1414000000.0,1404000000.0,1438000000.0,1342000000.0,1374000000.0,1400000000.0,1602000000.0,1616000000.0
Long Term Debt,19332000000.0,19505000000.0,18374000000.0,18379000000.0,18664000000.0,18517000000.0,17204000000.0,17998000000.0
Inventory,504000000.0,474000000.0,461000000.0,446000000.0,445000000.0,577000000.0,604000000.0,688000000.0
Accounts Payable,1207000000.0,1103000000.0,1156000000.0,832000000.0,948000000.0,1015000000.0,1153000000.0,1288000000.0
Deferred Long Term Liab,,,587000000.0,,,,834000000.0,
