,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-03-26
Change To Liabilities,-7500000.0,59700000.0,-5900000.0,45500000.0,-7600000.0,2400000.0,-18800000.0,34800000.0
Total Cashflows From Investing Activities,-36300000.0,-137900000.0,-49900000.0,-478200000.0,-758400000.0,-43100000.0,-173500000.0,9100000.0
Net Borrowings,-259700000.0,-259900000.0,-290100000.0,-19100000.0,300600000.0,-104800000.0,39500000.0,-1100000.0
Total Cash From Financing Activities,-241700000.0,-350900000.0,-428200000.0,-129200000.0,109600000.0,-82000000.0,-143500000.0,-202500000.0
Change To Operating Activities,118900000.0,59300000.0,39800000.0,-126600000.0,36900000.0,-11300000.0,42700000.0,315500000.0
Issuance Of Stock,18100000.0,10900000.0,23300000.0,10300000.0,6000000.0,11700000.0,6400000.0,10900000.0
Net Income,137900000.0,494900000.0,654400000.0,619900000.0,268400000.0,328800000.0,499200000.0,455700000.0
Change In Cash,-55600000.0,-43200000.0,167700000.0,-52300000.0,11200000.0,342700000.0,250500000.0,870000000.0
Repurchase Of Stock,-101900000.0,-101900000.0,-147700000.0,-120400000.0,-188500000.0,-700000.0,-189400000.0,-200100000.0
Effect Of Exchange Rate,-600000.0,3600000.0,-4200000.0,2900000.0,-2800000.0,2400000.0,3300000.0,1200000.0
Total Cash From Operating Activities,223000000.0,442000000.0,650000000.0,552200000.0,662800000.0,465400000.0,564200000.0,1062200000.0
Depreciation,93600000.0,94300000.0,92800000.0,95200000.0,101100000.0,117800000.0,108000000.0,106100000.0
Other Cashflows From Investing Activities,-1300000.0,-200000.0,-200000.0,-1900000.0,-100000.0,-100000.0,63900000.0,63900000.0
Change To Inventory,-14700000.0,22700000.0,-21200000.0,-24800000.0,-36400000.0,-1700000.0,-17400000.0,-9000000.0
Change To Account Receivables,-130200000.0,-296600000.0,-175500000.0,4100000.0,282900000.0,-600000.0,-48100000.0,149700000.0
Other Cashflows From Financing Activities,-100000.0,-13700000.0,-13700000.0,-8500000.0,-8500000.0,11800000.0,-12200000.0,-12200000.0
Change To Netincome,8000000.0,900000.0,56700000.0,-5600000.0,-4800000.0,-7300000.0,3200000.0,11200000.0
Capital Expenditures,-35000000.0,-58300000.0,-44800000.0,-34700000.0,-35100000.0,-41600000.0,-16200000.0,-53700000.0
