,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Change To Liabilities,-12000000.0,187000000.0,151000000.0,-178000000.0
Total Cashflows From Investing Activities,-964000000.0,-1052000000.0,-1240000000.0,-1096000000.0
Net Borrowings,201000000.0,70000000.0,1236000000.0,-262000000.0
Total Cash From Financing Activities,-33000000.0,-167000000.0,1532000000.0,-472000000.0
Change To Operating Activities,114000000.0,-904000000.0,112000000.0,-407000000.0
Issuance Of Stock,14000000.0,15000000.0,569000000.0,16000000.0
Net Income,190000000.0,493000000.0,43000000.0,419000000.0
Change In Cash,-229000000.0,-1031000000.0,1122000000.0,-1279000000.0
Total Cash From Operating Activities,768000000.0,188000000.0,830000000.0,289000000.0
Depreciation,476000000.0,482000000.0,492000000.0,497000000.0
Other Cashflows From Investing Activities,-68000000.0,-69000000.0,-88000000.0,-82000000.0
Dividends Paid,-244000000.0,-244000000.0,-244000000.0,-253000000.0
Change To Inventory,-10000000.0,-17000000.0,-3000000.0,17000000.0
Change To Account Receivables,-26000000.0,-209000000.0,-221000000.0,-281000000.0
Other Cashflows From Financing Activities,-4000000.0,-8000000.0,-29000000.0,27000000.0
Change To Netincome,14000000.0,125000000.0,195000000.0,242000000.0
Capital Expenditures,-896000000.0,-983000000.0,-1152000000.0,-1014000000.0
