,2020-06-13,2020-09-05,2020-12-26,2021-03-20,2021-06-12,2021-09-04,2021-12-25,2022-03-19,2022-06-11,2022-09-03
Intangible Assets,18995000000.0,19186000000.0,19315000000.0,19331000000.0,19424000000.0,18875000000.0,18665000000.0,18100000000.0,17091000000.0,17152000000.0
Total Stockholder Equity,12491000000.0,13483000000.0,13454000000.0,13947000000.0,15299000000.0,15872000000.0,16043000000.0,18202000000.0,18553000000.0,18977000000.0
Total Assets,89525000000.0,92041000000.0,92918000000.0,91224000000.0,92385000000.0,93254000000.0,92377000000.0,92962000000.0,93103000000.0,94461000000.0
Good Will,17845000000.0,18603000000.0,18757000000.0,18779000000.0,18893000000.0,18531000000.0,18381000000.0,18112000000.0,18547000000.0,18388000000.0
Cash,8927000000.0,9094000000.0,8185000000.0,5661000000.0,5449000000.0,6506000000.0,5596000000.0,6561000000.0,5405000000.0,6415000000.0
Total Current Liabilities,23827000000.0,26009000000.0,23372000000.0,22693000000.0,23623000000.0,25077000000.0,26220000000.0,25824000000.0,27223000000.0,25653000000.0
Property Plant Equipment,19187000000.0,19726000000.0,23039000000.0,21249000000.0,21619000000.0,21257000000.0,24427000000.0,22017000000.0,22694000000.0,22800000000.0
Total Current Assets,23189000000.0,24060000000.0,23001000000.0,21196000000.0,21597000000.0,23710000000.0,21783000000.0,22342000000.0,22633000000.0,23543000000.0
Net Tangible Assets,-24349000000.0,-24306000000.0,-24618000000.0,-24163000000.0,-23018000000.0,-21534000000.0,-21003000000.0,-18010000000.0,-17085000000.0,-16563000000.0
Net Receivables,8780000000.0,9295000000.0,8404000000.0,8885000000.0,9722000000.0,9545000000.0,8680000000.0,9424000000.0,10498000000.0,10739000000.0
Inventory,4314000000.0,4135000000.0,4172000000.0,4556000000.0,5006000000.0,4364000000.0,4347000000.0,4762000000.0,5287000000.0,5019000000.0
Capital Surplus,3772000000.0,3848000000.0,3910000000.0,3800000000.0,3863000000.0,3924000000.0,4001000000.0,3893000000.0,3970000000.0,
Total Liab,76938000000.0,78446000000.0,79366000000.0,77171000000.0,76987000000.0,77264000000.0,76226000000.0,74642000000.0,74429000000.0,
Minority Interest,96000000.0,112000000.0,98000000.0,106000000.0,99000000.0,118000000.0,108000000.0,118000000.0,121000000.0,
Common Stock,23000000.0,23000000.0,23000000.0,23000000.0,23000000.0,23000000.0,23000000.0,23000000.0,23000000.0,
Retained Earnings,62145000000.0,63013000000.0,63443000000.0,63740000000.0,64605000000.0,65336000000.0,65165000000.0,67934000000.0,67763000000.0,
Other Liab,14740000000.0,14558000000.0,14391000000.0,15487000000.0,15330000000.0,15164000000.0,12382000000.0,14228000000.0,13959000000.0,
Treasury Stock,-53449000000.0,-53401000000.0,-53922000000.0,-53616000000.0,-53192000000.0,-53411000000.0,-53146000000.0,-53648000000.0,-53203000000.0,
Other Assets,7594000000.0,7714000000.0,6014000000.0,7892000000.0,8078000000.0,8090000000.0,6494000000.0,8796000000.0,8619000000.0,
Deferred Long Term Asset Charges,4351000000.0,4357000000.0,4372000000.0,4370000000.0,4370000000.0,4357000000.0,4310000000.0,4301000000.0,4345000000.0,
Other Stockholder Equity,-15778000000.0,-15357000000.0,-15476000000.0,-15246000000.0,-14859000000.0,-15125000000.0,-14898000000.0,-15343000000.0,-14416000000.0,
Long Term Investments,2715000000.0,2752000000.0,2792000000.0,2777000000.0,2774000000.0,2791000000.0,2627000000.0,3595000000.0,3519000000.0,
Short Term Investments,196000000.0,611000000.0,1366000000.0,964000000.0,328000000.0,344000000.0,392000000.0,343000000.0,287000000.0,
Long Term Debt,38371000000.0,37879000000.0,40370000000.0,38991000000.0,38034000000.0,37023000000.0,36026000000.0,34590000000.0,33247000000.0,
Accounts Payable,17220000000.0,19317000000.0,8853000000.0,18019000000.0,19359000000.0,20060000000.0,9834000000.0,20365000000.0,21191000000.0,
Deferred Long Term Liab,,,130000000.0,,,,119000000.0,,,
Other Current Liab,,,5285000000.0,,,783000000.0,6221000000.0,,,
Other Current Assets,,,48000000.0,,,1893000000.0,1841000000.0,,,
Short Long Term Debt,,,3358000000.0,,,,3872000000.0,,,
