,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-412000000.0,-412000000.0,-539000000.0,-660000000.0,1696000000.0
Change To Liabilities,-79000000.0,-39000000.0,95000000.0,-133000000.0,90000000.0
Total Cashflows From Investing Activities,-487000000.0,-695000000.0,-790000000.0,-2869000000.0,-1201000000.0
Net Borrowings,114000000.0,2867000000.0,1024000000.0,986000000.0,924000000.0
Total Cash From Financing Activities,1015000000.0,4640000000.0,8939000000.0,1379000000.0,1780000000.0
Change To Operating Activities,2431000000.0,1208000000.0,-188000000.0,723000000.0,2189000000.0
Issuance Of Stock,3000000.0,8522000000.0,8522000000.0,125000000.0,107000000.0
Net Income,-4033000000.0,997000000.0,-8506000000.0,-6768000000.0,-496000000.0
Change In Cash,-998000000.0,2381000000.0,3858000000.0,-4676000000.0,414000000.0
Repurchase Of Stock,-131000000.0,-1573000000.0,-1573000000.0,-17000000.0,-27000000.0
Effect Of Exchange Rate,22000000.0,-119000000.0,-4000000.0,-92000000.0,-69000000.0
Total Cash From Operating Activities,-1418000000.0,-1541000000.0,-4321000000.0,-2745000000.0,-445000000.0
Depreciation,496000000.0,414000000.0,450000000.0,520000000.0,902000000.0
Other Cashflows From Investing Activities,-30000000.0,-30000000.0,-125000000.0,-125000000.0,-285000000.0
Change To Account Receivables,-442000000.0,-279000000.0,-407000000.0,142000000.0,-597000000.0
Other Cashflows From Financing Activities,21000000.0,23000000.0,966000000.0,285000000.0,776000000.0
Change To Netincome,-49000000.0,-4172000000.0,4131000000.0,2671000000.0,-2533000000.0
Capital Expenditures,-821000000.0,-558000000.0,-588000000.0,-616000000.0,-298000000.0
