,2017-12-30,2018-12-29,2019-12-28,2020-12-31,2021-12-31
Investments,-339974000.0,-71497000.0,215107000.0,-363387000.0,243602000.0
Change To Liabilities,3846000.0,146740000.0,-47979000.0,-28163000.0,146711000.0
Total Cashflows From Investing Activities,-1005851000.0,-828937000.0,-640408000.0,-801237000.0,-729834000.0
Net Borrowings,-75000000.0,-75000000.0,600000000.0,297500000.0,500000000.0
Total Cash From Financing Activities,-110984000.0,-609787000.0,-601380000.0,-461497000.0,-1054845000.0
Change To Operating Activities,-258850000.0,149709000.0,-36856000.0,104122000.0,-2771000.0
Issuance Of Stock,76705000.0,91349000.0,258036000.0,253605000.0,304078000.0
Net Income,866978000.0,630059000.0,529454000.0,780088000.0,555596000.0
Change In Cash,200062000.0,3203000.0,67717000.0,173772000.0,-25768000.0
Repurchase Of Stock,-185018000.0,-633000000.0,-1337143000.0,-780622000.0,-1571837000.0
Effect Of Exchange Rate,9222000.0,-12082000.0,-3594000.0,-199000.0,-12773000.0
Total Cash From Operating Activities,1307675000.0,1454009000.0,1313099000.0,1436705000.0,1771684000.0
Depreciation,407473000.0,432363000.0,460552000.0,450110000.0,457056000.0
Dividends Paid,-113823000.0,-113823000.0,-113823000.0,-221461000.0,-267478000.0
Change To Inventory,-972000.0,-9307000.0,1855000.0,960000.0,-5131000.0
Change To Account Receivables,-32836000.0,-207785000.0,58113000.0,3686000.0,26000000.0
Other Cashflows From Financing Activities,-2671000.0,6864000.0,-8450000.0,-10519000.0,-19608000.0
Change To Netincome,130428000.0,129851000.0,125145000.0,-141406000.0,336856000.0
Capital Expenditures,-362083000.0,-446928000.0,-471518000.0,-283981000.0,-289694000.0
