,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-7853000.0,-287134000.0,-65318000.0,-14735000.0,-163795000.0,324487000.0,97645000.0
Change To Liabilities,-64077000.0,4969000.0,64716000.0,44886000.0,8526000.0,-14892000.0,108191000.0
Total Cashflows From Investing Activities,-248435000.0,-211779000.0,-204412000.0,-182185000.0,-728634000.0,205259000.0,-24274000.0
Total Cash From Financing Activities,-26608000.0,-22958000.0,-115970000.0,117115000.0,-392493000.0,-417699000.0,-361768000.0
Change To Operating Activities,-2833000.0,85886000.0,46635000.0,11196000.0,1798000.0,31028000.0,-46793000.0
Issuance Of Stock,38705000.0,45772000.0,50925000.0,36514000.0,118386000.0,59677000.0,89501000.0
Net Income,134748000.0,356676000.0,141505000.0,172252000.0,32707000.0,175795000.0,174842000.0
Change In Cash,-15517000.0,149259000.0,196461000.0,382246000.0,-751457000.0,213136000.0,130307000.0
Repurchase Of Stock,-9700000.0,-8406000.0,-107999000.0,-346612000.0,-439734000.0,-400813000.0,-384678000.0
Effect Of Exchange Rate,936000.0,2047000.0,4183000.0,-3118000.0,535000.0,-9245000.0,-945000.0
Total Cash From Operating Activities,258590000.0,381949000.0,512660000.0,450434000.0,369135000.0,434821000.0,517294000.0
Depreciation,110098000.0,113468000.0,114909000.0,110463000.0,114007000.0,115027000.0,117559000.0
Dividends Paid,-55054000.0,-55176000.0,-55184000.0,-67477000.0,-67783000.0,-66794000.0,-65424000.0
Change To Inventory,5805000.0,2697000.0,-7246000.0,-7411000.0,10279000.0,-5228000.0,-2771000.0
Change To Account Receivables,-25652000.0,-30269000.0,82381000.0,-12301000.0,-29450000.0,7803000.0,59948000.0
Other Cashflows From Financing Activities,-559000.0,-2648000.0,-3712000.0,-5310000.0,-3362000.0,-9769000.0,-1167000.0
Change To Netincome,14051000.0,-219703000.0,19243000.0,45121000.0,175814000.0,57551000.0,58370000.0
Capital Expenditures,-117048000.0,-71757000.0,-45928000.0,-75925000.0,-123356000.0,-47532000.0,-42881000.0
Net Borrowings,-2500000.0,-2500000.0,500000000.0,500000000.0,,,
Other Cashflows From Investing Activities,,,9349000.0,,,,
