,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,,4225000000.0,3759000000.0,3352000000.0,2881000000.0
Capital Surplus,,7042000000.0,7325000000.0,7595000000.0,8151000000.0
Total Liab,,50078000000.0,46430000000.0,48465000000.0,44251000000.0
Total Stockholder Equity,,32483000000.0,13541000000.0,12435000000.0,18165000000.0
Minority Interest,,1138000000.0,553000000.0,570000000.0,574000000.0
Deferred Long Term Liab,,717000000.0,789000000.0,1174000000.0,1395000000.0
Other Current Liab,,5716000000.0,1370000000.0,2025000000.0,1561000000.0
Total Assets,,83699000000.0,60524000000.0,61470000000.0,62990000000.0
Common Stock,,,8000000.0,8000000.0,8000000.0
Other Current Assets,,20593000000.0,609000000.0,525000000.0,654000000.0
Retained Earnings,,35460000000.0,17045000000.0,16361000000.0,20623000000.0
Other Liab,,15214000000.0,17886000000.0,19167000000.0,15534000000.0
Good Will,,9846000000.0,8796000000.0,8908000000.0,8764000000.0
Treasury Stock,,-10019000000.0,-10837000000.0,-11529000000.0,-10617000000.0
Other Assets,,2514000000.0,3031000000.0,3423000000.0,2814000000.0
Cash,,2724000000.0,2367000000.0,5104000000.0,2988000000.0
Total Current Liabilities,,15547000000.0,10679000000.0,11108000000.0,13226000000.0
Deferred Long Term Asset Charges,,1779000000.0,2213000000.0,2215000000.0,1358000000.0
Short Long Term Debt,,338000000.0,567000000.0,386000000.0,203000000.0
Other Stockholder Equity,,-10019000000.0,-10337000000.0,-10904000000.0,-8992000000.0
Property Plant Equipment,,21418000000.0,23068000000.0,22095000000.0,21967000000.0
Total Current Assets,,39370000000.0,16815000000.0,19084000000.0,20848000000.0
Long Term Investments,,6326000000.0,5055000000.0,4608000000.0,5716000000.0
Net Tangible Assets,,18412000000.0,986000000.0,175000000.0,6520000000.0
Short Term Investments,,100000000.0,21000000.0,45000000.0,245000000.0
Net Receivables,,9054000000.0,7596000000.0,7709000000.0,9588000000.0
Long Term Debt,,18946000000.0,15731000000.0,16229000000.0,13579000000.0
Inventory,,6899000000.0,6214000000.0,5701000000.0,7372000000.0
Accounts Payable,,6935000000.0,5953000000.0,5889000000.0,8416000000.0
