,2020-06-27,2020-10-03,2021-01-02,2021-04-03,2021-07-03,2021-10-02,2022-01-01
Change To Liabilities,-1098000000.0,-307000000.0,-642000000.0,-138000000.0,1121000000.0,2069000000.0,-2579000000.0
Total Cashflows From Investing Activities,-714000000.0,-515000000.0,-732000000.0,-591000000.0,-754000000.0,-1086000000.0,-987000000.0
Net Borrowings,8945000000.0,-5873000000.0,-317000000.0,-1549000000.0,-509000000.0,-1324000000.0,-91000000.0
Total Cash From Financing Activities,8303000000.0,-6439000000.0,-333000000.0,-1908000000.0,-530000000.0,-1614000000.0,-292000000.0
Change To Operating Activities,182000000.0,-165000000.0,-136000000.0,5000000.0,18000000.0,284000000.0,-115000000.0
Issuance Of Stock,31000000.0,67000000.0,209000000.0,185000000.0,11000000.0,30000000.0,33000000.0
Net Income,-4721000000.0,-710000000.0,17000000.0,901000000.0,918000000.0,159000000.0,1104000000.0
Change In Cash,8776000000.0,-5200000000.0,-842000000.0,-1180000000.0,183000000.0,-112000000.0,-1515000000.0
Effect Of Exchange Rate,27000000.0,87000000.0,139000000.0,-69000000.0,7000000.0,-47000000.0,-35000000.0
Total Cash From Operating Activities,1160000000.0,1667000000.0,84000000.0,1388000000.0,1460000000.0,2635000000.0,-201000000.0
Depreciation,1379000000.0,1335000000.0,1298000000.0,1272000000.0,1266000000.0,1275000000.0,1269000000.0
Other Cashflows From Investing Activities,-6000000.0,214000000.0,28000000.0,179000000.0,184000000.0,24000000.0,-6000000.0
Change To Inventory,16000000.0,-72000000.0,94000000.0,81000000.0,61000000.0,16000000.0,-14000000.0
Change To Account Receivables,1272000000.0,-157000000.0,-1324000000.0,1287000000.0,-264000000.0,-56000000.0,-1401000000.0
Other Cashflows From Financing Activities,-673000000.0,-633000000.0,-225000000.0,-544000000.0,-32000000.0,-320000000.0,-234000000.0
Change To Netincome,3923000000.0,1990000000.0,837000000.0,-2480000000.0,-1000000000.0,-1090000000.0,2101000000.0
Capital Expenditures,-708000000.0,-729000000.0,-760000000.0,-770000000.0,-938000000.0,-1110000000.0,-981000000.0
