,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,8368000000.0,9007000000.0,8674000000.0,9405000000.0,10615000000.0
Capital Surplus,8547000000.0,9536000000.0,9448000000.0,9244000000.0,9148000000.0
Total Liab,44037000000.0,43030000000.0,45725000000.0,53416000000.0,61332000000.0
Total Stockholder Equity,26503000000.0,28541000000.0,31728000000.0,33199000000.0,36060000000.0
Minority Interest,,,,,68000000.0
Other Current Liab,4311000000.0,4283000000.0,4980000000.0,7195000000.0,8863000000.0
Total Assets,70540000000.0,71571000000.0,77453000000.0,86615000000.0,97460000000.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,2000000.0
Other Current Assets,2867000000.0,2870000000.0,3020000000.0,3986000000.0,4686000000.0
Retained Earnings,18054000000.0,19988000000.0,22573000000.0,23802000000.0,27088000000.0
Other Liab,3299000000.0,3848000000.0,3924000000.0,3781000000.0,4426000000.0
Good Will,19231000000.0,20504000000.0,20500000000.0,21691000000.0,24228000000.0
Treasury Stock,-101000000.0,-986000000.0,-296000000.0,150000000.0,-178000000.0
Other Assets,1126000000.0,1245000000.0,1280000000.0,1354000000.0,1723000000.0
Cash,3609000000.0,3934000000.0,4937000000.0,5741000000.0,4880000000.0
Total Current Liabilities,23356000000.0,21965000000.0,23532000000.0,29453000000.0,34885000000.0
Deferred Long Term Asset Charges,,,,,103000000.0
Short Long Term Debt,1275000000.0,849000000.0,1598000000.0,700000000.0,1599000000.0
Other Stockholder Equity,-101000000.0,-986000000.0,-296000000.0,150000000.0,-178000000.0
Property Plant Equipment,2175000000.0,2735000000.0,3708000000.0,4129000000.0,4547000000.0
Total Current Assets,36263000000.0,34321000000.0,39033000000.0,45751000000.0,51122000000.0
Long Term Investments,3377000000.0,3759000000.0,4258000000.0,4285000000.0,5225000000.0
Net Tangible Assets,-1096000000.0,-970000000.0,2554000000.0,2103000000.0,1217000000.0
Short Term Investments,20993000000.0,18206000000.0,20685000000.0,24992000000.0,28148000000.0
Net Receivables,8794000000.0,9311000000.0,10391000000.0,11032000000.0,13408000000.0
Long Term Debt,17382000000.0,17217000000.0,17787000000.0,19335000000.0,21157000000.0
Accounts Payable,16036000000.0,15078000000.0,16090000000.0,21442000000.0,24009000000.0
