,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-92000000.0,-34000000.0,-34000000.0,-34000000.0,-50000000.0,-5477000000.0,-1934000000.0,1742000000.0
Change To Liabilities,-3453000000.0,0.0,0.0,1091000000.0,1821000000.0,2656000000.0,193000000.0,1590000000.0
Total Cashflows From Investing Activities,-1088000000.0,-433000000.0,-433000000.0,-433000000.0,-267000000.0,15670000000.0,-2054000000.0,1448000000.0
Net Borrowings,2729000000.0,-342000000.0,-342000000.0,-342000000.0,865000000.0,-4169000000.0,-1018000000.0,-1951000000.0
Total Cash From Financing Activities,2021000000.0,-1057000000.0,-1057000000.0,-1057000000.0,16000000.0,-5970000000.0,-2762000000.0,-5703000000.0
Change To Operating Activities,-4000000.0,-17000000.0,-17000000.0,-17000000.0,5000000.0,-1000000.0,1000000.0,-2000000.0
Issuance Of Stock,4000000.0,5000000.0,5000000.0,5000000.0,23000000.0,30000000.0,18000000.0,35000000.0
Net Income,-9234000000.0,0.0,-886000000.0,285000000.0,-242000000.0,8512000000.0,694000000.0,774000000.0
Change In Cash,165000000.0,-162000000.0,-162000000.0,-162000000.0,203000000.0,11080000000.0,-5964000000.0,-581000000.0
Repurchase Of Stock,,,-984000000.0,-984000000.0,-984000000.0,-984000000.0,-928000000.0,-2742000000.0
Total Cash From Operating Activities,-768000000.0,1328000000.0,1328000000.0,1328000000.0,454000000.0,1380000000.0,-1148000000.0,3674000000.0
Depreciation,962000000.0,849000000.0,849000000.0,849000000.0,844000000.0,871000000.0,836000000.0,813000000.0
Other Cashflows From Investing Activities,10000000.0,-19000000.0,-19000000.0,-19000000.0,11000000.0,21444000000.0,240000000.0,132000000.0
Dividends Paid,-377000000.0,-377000000.0,-377000000.0,-377000000.0,-379000000.0,-381000000.0,-370000000.0,-354000000.0
Change To Inventory,-422000000.0,585000000.0,585000000.0,585000000.0,-408000000.0,-472000000.0,-326000000.0,1173000000.0
Change To Account Receivables,1899000000.0,-863000000.0,-863000000.0,-863000000.0,-1723000000.0,-2224000000.0,182000000.0,-1534000000.0
Other Cashflows From Financing Activities,-335000000.0,-343000000.0,-343000000.0,-343000000.0,-493000000.0,-466000000.0,-464000000.0,-691000000.0
Change To Netincome,9470000000.0,-622000000.0,-622000000.0,-622000000.0,135000000.0,-7981000000.0,-2746000000.0,840000000.0
Capital Expenditures,-1062000000.0,-457000000.0,-457000000.0,-457000000.0,-304000000.0,-302000000.0,-377000000.0,-481000000.0
