,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,1341000000.0,1637000000.0,2667000000.0,2894000000.0,2462000000.0
Capital Surplus,1984000000.0,2204000000.0,2488000000.0,2969000000.0,3269000000.0
Total Liab,12433000000.0,11964000000.0,14476000000.0,14819000000.0,14069000000.0
Total Stockholder Equity,-60000000.0,-102000000.0,117000000.0,743000000.0,609000000.0
Minority Interest,303000000.0,299000000.0,441000000.0,358000000.0,362000000.0
Other Current Liab,555000000.0,567000000.0,471000000.0,517000000.0,449000000.0
Total Assets,12676000000.0,12161000000.0,15034000000.0,15920000000.0,15040000000.0
Common Stock,1466000000.0,1466000000.0,1466000000.0,1466000000.0,1466000000.0
Other Current Assets,389000000.0,407000000.0,433000000.0,476000000.0,537000000.0
Retained Earnings,20531000000.0,21615000000.0,22501000000.0,23699000000.0,24350000000.0
Other Liab,2452000000.0,2261000000.0,2614000000.0,2605000000.0,2352000000.0
Good Will,2218000000.0,2530000000.0,3508000000.0,3824000000.0,3284000000.0
Treasury Stock,-24041000000.0,-25387000000.0,-26338000000.0,-27391000000.0,-28476000000.0
Other Assets,364000000.0,274000000.0,374000000.0,552000000.0,556000000.0
Cash,1535000000.0,726000000.0,883000000.0,888000000.0,832000000.0
Total Current Liabilities,3408000000.0,3341000000.0,4038000000.0,4404000000.0,4051000000.0
Deferred Long Term Asset Charges,188000000.0,152000000.0,177000000.0,291000000.0,193000000.0
Short Long Term Debt,,1000000.0,254000000.0,9000000.0,12000000.0
Other Stockholder Equity,-3860000000.0,-4191000000.0,-4275000000.0,-4346000000.0,-4387000000.0
Property Plant Equipment,4072000000.0,3881000000.0,4252000000.0,4237000000.0,4257000000.0
Total Current Assets,4639000000.0,3793000000.0,4179000000.0,4338000000.0,4397000000.0
Long Term Investments,42000000.0,46000000.0,54000000.0,75000000.0,84000000.0
Net Tangible Assets,-3619000000.0,-4269000000.0,-6058000000.0,-5975000000.0,-5137000000.0
Short Term Investments,14000000.0,10000000.0,23000000.0,37000000.0,34000000.0
Net Receivables,1480000000.0,1400000000.0,1440000000.0,1264000000.0,1297000000.0
Long Term Debt,6573000000.0,6362000000.0,7313000000.0,7300000000.0,7171000000.0
Inventory,1221000000.0,1250000000.0,1400000000.0,1673000000.0,1692000000.0
Accounts Payable,1212000000.0,1222000000.0,1237000000.0,1393000000.0,1479000000.0
