,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-10000000.0,-10000000.0,-15000000.0,-12000000.0,273000000.0,1000000.0,-1000000.0
Change To Liabilities,-1224000000.0,553000000.0,825000000.0,2992000000.0,987000000.0,-355000000.0,2677000000.0
Total Cashflows From Investing Activities,-582000000.0,-513000000.0,-573000000.0,-580000000.0,-256000000.0,-576000000.0,-747000000.0
Net Borrowings,1173000000.0,2530000000.0,18000000.0,-24000000.0,-26000000.0,-497000000.0,-660000000.0
Total Cash From Financing Activities,630000000.0,2035000000.0,-393000000.0,-439000000.0,-427000000.0,-873000000.0,-1107000000.0
Change To Operating Activities,178000000.0,742000000.0,83000000.0,-16000000.0,426000000.0,358000000.0,-497000000.0
Net Income,1253000000.0,-464000000.0,-359000000.0,-704000000.0,162000000.0,463000000.0,1009000000.0
Change In Cash,804000000.0,1728000000.0,-734000000.0,-1059000000.0,1318000000.0,-74000000.0,624000000.0
Repurchase Of Stock,-9000000.0,-9000000.0,-9000000.0,-14000000.0,-1000000.0,-12000000.0,-12000000.0
Effect Of Exchange Rate,20000000.0,41000000.0,136000000.0,12000000.0,-7000000.0,-74000000.0,24000000.0
Total Cash From Operating Activities,736000000.0,165000000.0,96000000.0,-52000000.0,2008000000.0,1449000000.0,2454000000.0
Depreciation,578000000.0,584000000.0,577000000.0,578000000.0,588000000.0,593000000.0,598000000.0
Other Cashflows From Investing Activities,-132000000.0,-96000000.0,-52000000.0,-229000000.0,-174000000.0,-114000000.0,-238000000.0
Dividends Paid,-400000000.0,-399000000.0,-400000000.0,-400000000.0,-401000000.0,-400000000.0,-401000000.0
Change To Inventory,509000000.0,441000000.0,-570000000.0,175000000.0,-222000000.0,-185000000.0,-21000000.0
Change To Account Receivables,1219000000.0,-1387000000.0,-456000000.0,-2946000000.0,-123000000.0,426000000.0,-1739000000.0
Other Cashflows From Financing Activities,-143000000.0,-96000000.0,-2000000.0,-1000000.0,1000000.0,24000000.0,-34000000.0
Change To Netincome,-1781000000.0,-244000000.0,31000000.0,-157000000.0,171000000.0,79000000.0,318000000.0
Capital Expenditures,-440000000.0,-407000000.0,-506000000.0,-339000000.0,-355000000.0,-463000000.0,-508000000.0
