,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Total Liab,174342000000.0,173431000000.0,168620000000.0,169669000000.0,171733000000.0,169182000000.0
Total Stockholder Equity,180183000000.0,177400000000.0,157150000000.0,156974000000.0,158571000000.0,160589000000.0
Minority Interest,6970000000.0,7212000000.0,6980000000.0,7127000000.0,6985000000.0,6917000000.0
Other Current Liab,1102000000.0,1217000000.0,13826000000.0,1260000000.0,1393000000.0,1768000000.0
Total Assets,361495000000.0,358043000000.0,332750000000.0,333770000000.0,337289000000.0,336688000000.0
Common Stock,15812000000.0,15997000000.0,15688000000.0,15884000000.0,16006000000.0,16104000000.0
Other Current Assets,1747000000.0,2002000000.0,1098000000.0,1568000000.0,1562000000.0,1664000000.0
Retained Earnings,412124000000.0,407728000000.0,383943000000.0,382953000000.0,383922000000.0,386952000000.0
Other Liab,70509000000.0,70075000000.0,60946000000.0,64382000000.0,64176000000.0,63687000000.0
Treasury Stock,-247753000000.0,-246325000000.0,-242481000000.0,-241863000000.0,-241357000000.0,-242467000000.0
Other Assets,23522000000.0,24285000000.0,24311000000.0,25718000000.0,25264000000.0,25876000000.0
Cash,12576000000.0,8832000000.0,4364000000.0,3515000000.0,3465000000.0,4768000000.0
Total Current Liabilities,57270000000.0,56468000000.0,56363000000.0,60150000000.0,62238000000.0,61856000000.0
Other Stockholder Equity,-21617000000.0,-20189000000.0,-16705000000.0,-16090000000.0,-15586000000.0,-16696000000.0
Property Plant Equipment,250524000000.0,250496000000.0,233631000000.0,224641000000.0,223012000000.0,218795000000.0
Total Current Assets,53016000000.0,48693000000.0,44893000000.0,48195000000.0,52842000000.0,55555000000.0
Long Term Investments,34433000000.0,34569000000.0,29915000000.0,35216000000.0,36171000000.0,36462000000.0
Net Tangible Assets,180183000000.0,177400000000.0,157150000000.0,156974000000.0,158571000000.0,160589000000.0
Net Receivables,19036000000.0,19974000000.0,20581000000.0,24755000000.0,28540000000.0,29516000000.0
Long Term Debt,46563000000.0,46888000000.0,45502000000.0,45137000000.0,45319000000.0,43639000000.0
Inventory,19657000000.0,17885000000.0,18850000000.0,18357000000.0,19275000000.0,19607000000.0
Accounts Payable,33216000000.0,33340000000.0,17499000000.0,40705000000.0,45552000000.0,47122000000.0
Deferred Long Term Asset Charges,,,4159000000.0,,,
Short Long Term Debt,,,2828000000.0,,,
