,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Investments,-796000000.0,-1919000000.0,-1414000000.0,-349000000.0,-264000000.0,-442000000.0,-1762000000.0,-417000000.0,-226000000.0
Change To Liabilities,0.0,0.0,-7142000000.0,0.0,0.0,0.0,16820000000.0,0.0,0.0
Total Cashflows From Investing Activities,-5081000000.0,-3709000000.0,-3302000000.0,-2355000000.0,-2716000000.0,-3054000000.0,-2110000000.0,-3945000000.0,-3064000000.0
Net Borrowings,9838000000.0,-928000000.0,-1529000000.0,-4065000000.0,-2953000000.0,-3812000000.0,-8824000000.0,-732000000.0,-301000000.0
Total Cash From Financing Activities,6277000000.0,-4494000000.0,-5283000000.0,-7785000000.0,-7022000000.0,-7657000000.0,-12959000000.0,-6713000000.0,-8671000000.0
Change To Operating Activities,-1460000000.0,863000000.0,1959000000.0,1953000000.0,-380000000.0,659000000.0,-2303000000.0,1086000000.0,-2747000000.0
Net Income,-1080000000.0,-680000000.0,-20070000000.0,2730000000.0,4690000000.0,6750000000.0,8870000000.0,5480000000.0,17850000000.0
Change In Cash,1164000000.0,-3744000000.0,-4468000000.0,-849000000.0,-50000000.0,1303000000.0,2034000000.0,4272000000.0,7787000000.0
Repurchase Of Stock,-100000000.0,-100000000.0,-100000000.0,-1000000.0,-154000000.0,-154000000.0,-154000000.0,-2067000000.0,-3919000000.0
Effect Of Exchange Rate,-32000000.0,70000000.0,112000000.0,27000000.0,38000000.0,-77000000.0,-21000000.0,142000000.0,-441000000.0
Total Cash From Operating Activities,4389000000.0,4389000000.0,4005000000.0,9264000000.0,9650000000.0,12091000000.0,17124000000.0,14788000000.0,19963000000.0
Depreciation,4916000000.0,4661000000.0,4664000000.0,5004000000.0,4341000000.0,5601000000.0,4461000000.0,5908000000.0,4451000000.0
Other Cashflows From Investing Activities,89000000.0,1401000000.0,971000000.0,87000000.0,45000000.0,210000000.0,1140000000.0,90000000.0,60000000.0
Dividends Paid,-3715000000.0,-3716000000.0,-3715000000.0,-3720000000.0,-3721000000.0,-3720000000.0,-3763000000.0,-3760000000.0,-3727000000.0
Other Cashflows From Financing Activities,154000000.0,150000000.0,61000000.0,1000000.0,-348000000.0,-125000000.0,-218000000.0,-154000000.0,-724000000.0
Change To Netincome,-2376000000.0,-455000000.0,19525000000.0,-423000000.0,999000000.0,-919000000.0,1863000000.0,2314000000.0,409000000.0
Capital Expenditures,-4417000000.0,-3291000000.0,-3629000000.0,-2400000000.0,-2747000000.0,-2840000000.0,-4089000000.0,-3911000000.0,-3837000000.0
Change To Inventory,-315000000.0,-315000000.0,-315000000.0,-489000000.0,-489000000.0,-489000000.0,-489000000.0,,
Change To Account Receivables,5384000000.0,5384000000.0,5384000000.0,-12098000000.0,-12098000000.0,-12098000000.0,-12098000000.0,,
