,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Change To Liabilities,-74000000.0,134000000.0,-53000000.0,-300000000.0,145000000.0
Total Cashflows From Investing Activities,-245000000.0,-457000000.0,-315000000.0,-144000000.0,-196000000.0
Net Borrowings,-506000000.0,-8000000.0,-521000000.0,-212000000.0,-149000000.0
Total Cash From Financing Activities,-595000000.0,-30000000.0,-647000000.0,-259000000.0,-189000000.0
Change To Operating Activities,95000000.0,-211000000.0,-196000000.0,-213000000.0,-192000000.0
Net Income,-237000000.0,-31000000.0,-6095000000.0,-2542000000.0,-250000000.0
Change In Cash,29000000.0,-10000000.0,-256000000.0,521000000.0,-101000000.0
Effect Of Exchange Rate,37000000.0,-44000000.0,-8000000.0,-2000000.0,-7000000.0
Total Cash From Operating Activities,832000000.0,521000000.0,714000000.0,926000000.0,291000000.0
Depreciation,698000000.0,690000000.0,533000000.0,383000000.0,332000000.0
Other Cashflows From Investing Activities,33000000.0,67000000.0,98000000.0,96000000.0,57000000.0
Dividends Paid,-76000000.0,-76000000.0,-77000000.0,-19000000.0,-20000000.0
Change To Inventory,229000000.0,-7000000.0,104000000.0,429000000.0,17000000.0
Change To Account Receivables,242000000.0,-140000000.0,205000000.0,604000000.0,98000000.0
Other Cashflows From Financing Activities,-13000000.0,54000000.0,-49000000.0,-28000000.0,-20000000.0
Change To Netincome,-77000000.0,101000000.0,6241000000.0,2556000000.0,169000000.0
Capital Expenditures,-192000000.0,-244000000.0,-233000000.0,-226000000.0,-201000000.0
