,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Investments,-637750000.0,-14369000.0,-173186000.0,-254238000.0,-398728000.0,115054000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-648982000.0,-31801000.0,-189272000.0,-269685000.0,-405717000.0,46148000.0
Net Borrowings,298656000.0,-152025000.0,-24840000.0,20001000.0,310027000.0,-316019000.0
Total Cash From Financing Activities,253307000.0,-309032000.0,-187061000.0,-113317000.0,135823000.0,-450513000.0
Issuance Of Stock,717000.0,9812000.0,20756000.0,32724000.0,33604000.0,1019000.0
Net Income,173048000.0,188945000.0,204240000.0,178517000.0,199618000.0,188871000.0
Change In Cash,23661000.0,-33930000.0,14746000.0,-13343000.0,56568000.0,-41747000.0
Repurchase Of Stock,-129919000.0,-129919000.0,-147218000.0,-132720000.0,-162864000.0,-97796000.0
Effect Of Exchange Rate,-6412000.0,-2411000.0,-6739000.0,-2171000.0,-3747000.0,4635000.0
Total Cash From Operating Activities,425748000.0,309314000.0,397818000.0,371830000.0,330209000.0,357983000.0
Other Cashflows From Investing Activities,5000.0,-7117000.0,48000.0,-59200000.0,-59200000.0,-59200000.0
Dividends Paid,-19953000.0,-19962000.0,-19689000.0,-19511000.0,-20380000.0,-20177000.0
Other Cashflows From Financing Activities,-26113000.0,-16938000.0,-16070000.0,-13811000.0,-24564000.0,-17540000.0
Change To Netincome,252700000.0,120369000.0,-1320095000.0,193313000.0,130591000.0,169112000.0
Capital Expenditures,-10829000.0,-8645000.0,-12966000.0,-15529000.0,-8198000.0,-7003000.0
Change To Operating Activities,832746000.0,832746000.0,832746000.0,,,
Depreciation,17000000.0,17000000.0,17000000.0,,,
