,2017-07-01,2018-06-30,2019-06-29,2020-06-27,2021-07-03,2022-07-02
Intangible Assets,340800000.0,1732900000.0,1711900000.0,1379400000.0,1373400000.0,1366600000.0
Capital Surplus,2978300000.0,3205500000.0,3302100000.0,3358500000.0,3487000000.0,3620200000.0
Total Liab,2829700000.0,3433700000.0,3363900000.0,5647800000.0,5123100000.0,4979800000.0
Total Stockholder Equity,3001900000.0,3244600000.0,3513400000.0,2276400000.0,3259300000.0,2285500000.0
Other Current Liab,95100000.0,97200000.0,149700000.0,100500000.0,53200000.0,39000000.0
Total Assets,5831600000.0,6678300000.0,6877300000.0,7924200000.0,8382400000.0,7265300000.0
Common Stock,2800000.0,2900000.0,2900000.0,2800000.0,2800000.0,2400000.0
Other Current Assets,31900000.0,86300000.0,91000000.0,85000000.0,76100000.0,51700000.0
Retained Earnings,107700000.0,119000000.0,291600000.0,-992700000.0,-158500000.0,-1166200000.0
Other Liab,496400000.0,895600000.0,844000000.0,513600000.0,577300000.0,567100000.0
Good Will,480500000.0,1484300000.0,1516200000.0,1301100000.0,1297300000.0,1241500000.0
Treasury Stock,-86900000.0,-82800000.0,-83200000.0,-92200000.0,-72000000.0,-170900000.0
Other Assets,290500000.0,143100000.0,153500000.0,158400000.0,161600000.0,257300000.0
Cash,2672900000.0,1243400000.0,969200000.0,1426300000.0,2007700000.0,789800000.0
Total Current Liabilities,753800000.0,938200000.0,918000000.0,1742100000.0,1425800000.0,1468800000.0
Deferred Long Term Asset Charges,170500000.0,24300000.0,19400000.0,55900000.0,65600000.0,47900000.0
Short Long Term Debt,,,,11500000.0,,31200000.0
Other Stockholder Equity,-86900000.0,-82800000.0,-83200000.0,-92200000.0,-72000000.0,-170900000.0
Property Plant Equipment,691400000.0,885400000.0,938800000.0,2532200000.0,2174700000.0,1826000000.0
Total Current Assets,3953300000.0,2432600000.0,2556800000.0,2553100000.0,3375300000.0,2573800000.0
Long Term Investments,75100000.0,,100000.0,,100000.0,100000.0
Net Tangible Assets,2180600000.0,27400000.0,285300000.0,-404100000.0,588600000.0,-322600000.0
Short Term Investments,410700000.0,6600000.0,264600000.0,8100000.0,8100000.0,163400000.0
Net Receivables,309500000.0,339900000.0,353900000.0,239300000.0,454800000.0,469500000.0
Long Term Debt,1579500000.0,1593900000.0,1596600000.0,1587900000.0,1590700000.0,1659200000.0
Inventory,469700000.0,673800000.0,778300000.0,736900000.0,734800000.0,994200000.0
Accounts Payable,194600000.0,264300000.0,243600000.0,130800000.0,445200000.0,520700000.0
