,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31
Intangible Assets,275338000.0,254322000.0,254375000.0,233809000.0,249974000.0,279132000.0
Capital Surplus,1623586000.0,1653166000.0,1589175000.0,1679801000.0,1606980000.0,1576363000.0
Total Liab,3061933000.0,3117695000.0,3125940000.0,3247060000.0,3330770000.0,3453317000.0
Total Stockholder Equity,4595925000.0,4907404000.0,4882252000.0,5088135000.0,5151020000.0,5295137000.0
Minority Interest,5392000.0,4963000.0,4646000.0,4370000.0,4116000.0,3806000.0
Deferred Long Term Liab,92100000.0,81300000.0,79400000.0,85800000.0,83900000.0,92200000.0
Other Current Liab,1410262000.0,1416001000.0,1578265000.0,1607314000.0,1557142000.0,1564066000.0
Total Assets,7663250000.0,8030062000.0,8012838000.0,8339565000.0,8485906000.0,8752260000.0
Common Stock,1519000.0,1528000.0,1526000.0,1526000.0,1526000.0,1531000.0
Other Current Assets,8450000.0,10843000.0,11416000.0,12257000.0,13214000.0,17032000.0
Retained Earnings,3597944000.0,3795397000.0,3954542000.0,4149620000.0,4348266000.0,4549713000.0
Other Liab,428337000.0,414539000.0,469019000.0,466787000.0,483806000.0,527736000.0
Good Will,3356407000.0,3365114000.0,3433003000.0,3432577000.0,3485181000.0,3575785000.0
Treasury Stock,-627124000.0,-542687000.0,-662991000.0,-742812000.0,-805752000.0,-832470000.0
Other Assets,888717000.0,898573000.0,978996000.0,999179000.0,1022747000.0,1105715000.0
Cash,1049922000.0,1235653000.0,1023074000.0,1457918000.0,1385395000.0,1432840000.0
Total Current Liabilities,2056277000.0,2139922000.0,2171383000.0,2255700000.0,2334636000.0,2413484000.0
Deferred Long Term Asset Charges,463894000.0,497546000.0,522871000.0,514064000.0,527753000.0,612655000.0
Short Long Term Debt,24248000.0,27084000.0,97421000.0,89945000.0,82468000.0,74992000.0
Other Stockholder Equity,-72820000.0,-54074000.0,-34775000.0,-41355000.0,-48411000.0,-49604000.0
Property Plant Equipment,956773000.0,949636000.0,948740000.0,984200000.0,964028000.0,965649000.0
Total Current Assets,2186015000.0,2549217000.0,2397724000.0,2689800000.0,2763976000.0,2808341000.0
Long Term Investments,,13200000.0,,,,17638000.0
Net Tangible Assets,964180000.0,1287968000.0,1194874000.0,1421749000.0,1415865000.0,1440220000.0
Short Term Investments,,,,,144773000.0,147949000.0
Net Receivables,875965000.0,1027647000.0,1032209000.0,887871000.0,860384000.0,885486000.0
Long Term Debt,107104000.0,100823000.0,25658000.0,25620000.0,24754000.0,25094000.0
Inventory,159813000.0,192333000.0,230907000.0,230068000.0,241103000.0,229023000.0
Accounts Payable,37126000.0,30003000.0,25378000.0,44131000.0,41305000.0,27413000.0
