,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Investments,-1000000.0,,,,-565000000.0,-565000000.0,-565000000.0,-565000000.0,136000000.0
Change To Liabilities,-29000000.0,149000000.0,-15000000.0,265000000.0,295000000.0,-45000000.0,544000000.0,178000000.0,-90000000.0
Total Cashflows From Investing Activities,-425000000.0,-236000000.0,-326000000.0,-348000000.0,-1694000000.0,-993000000.0,2166000000.0,-1313000000.0,-758000000.0
Net Borrowings,-225000000.0,1091000000.0,-540000000.0,-540000000.0,-221000000.0,-1292000000.0,-1292000000.0,-1292000000.0,23000000.0
Total Cash From Financing Activities,-513000000.0,986000000.0,-101000000.0,-806000000.0,-354000000.0,-514000000.0,-1133000000.0,-2761000000.0,-2272000000.0
Change To Operating Activities,-49000000.0,-61000000.0,2000000.0,-270000000.0,-34000000.0,-66000000.0,-35000000.0,30000000.0,-137000000.0
Net Income,-439000000.0,-20000000.0,-30000000.0,-70000000.0,380000000.0,1045000000.0,763000000.0,2009000000.0,2371000000.0
Change In Cash,-609000000.0,1142000000.0,110000000.0,-777000000.0,-582000000.0,485000000.0,3257000000.0,-1490000000.0,191000000.0
Repurchase Of Stock,-50000000.0,-2000000.0,-2000000.0,-13000000.0,-1000000.0,-5000000.0,-250000000.0,-276000000.0,-499000000.0
Total Cash From Operating Activities,329000000.0,392000000.0,537000000.0,377000000.0,1466000000.0,1992000000.0,2224000000.0,2584000000.0,3221000000.0
Depreciation,420000000.0,401000000.0,400000000.0,478000000.0,649000000.0,707000000.0,676000000.0,623000000.0,625000000.0
Other Cashflows From Investing Activities,-35000000.0,-24000000.0,-23000000.0,-24000000.0,-31000000.0,-22000000.0,-41000000.0,-41000000.0,-20000000.0
Dividends Paid,-91000000.0,-91000000.0,-91000000.0,-91000000.0,-122000000.0,-507000000.0,-1073000000.0,-1073000000.0,-1788000000.0
Change To Inventory,18000000.0,-21000000.0,-33000000.0,-90000000.0,-12000000.0,9000000.0,-32000000.0,-126000000.0,-115000000.0
Change To Account Receivables,-11000000.0,-97000000.0,-62000000.0,-330000000.0,-263000000.0,-8000000.0,-6000000.0,-697000000.0,38000000.0
Other Cashflows From Financing Activities,-147000000.0,-18000000.0,-11000000.0,-168000000.0,-10000000.0,-7000000.0,215000000.0,-121000000.0,-8000000.0
Change To Netincome,419000000.0,41000000.0,275000000.0,394000000.0,451000000.0,350000000.0,273000000.0,550000000.0,554000000.0
Capital Expenditures,-395000000.0,-263000000.0,-305000000.0,-464000000.0,-729000000.0,-998000000.0,-978000000.0,-917000000.0,-917000000.0
Issuance Of Stock,6000000.0,6000000.0,3000000.0,6000000.0,5000000.0,5000000.0,2000000.0,1000000.0,
