,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Investments,563000000.0,704000000.0,624000000.0,-1000000.0
Change To Liabilities,134000000.0,321000000.0,-7000000.0,-179000000.0
Total Cashflows From Investing Activities,-1792000000.0,-2610000000.0,-2447000000.0,-1668000000.0
Net Borrowings,-485000000.0,-450000000.0,1216000000.0,1216000000.0
Total Cash From Financing Activities,-529000000.0,-703000000.0,-788000000.0,381000000.0
Change To Operating Activities,-57000000.0,-57000000.0,-124000000.0,-214000000.0
Issuance Of Stock,6000000.0,8000000.0,6000000.0,9000000.0
Net Income,833000000.0,978000000.0,773000000.0,-200000000.0
Change In Cash,-222000000.0,-71000000.0,-120000000.0,796000000.0
Repurchase Of Stock,-36000000.0,-179000000.0,-653000000.0,-176000000.0
Total Cash From Operating Activities,2099000000.0,3242000000.0,3115000000.0,2083000000.0
Depreciation,1419000000.0,1548000000.0,1726000000.0,1659000000.0
Other Cashflows From Investing Activities,-342000000.0,-263000000.0,-232000000.0,-125000000.0
Dividends Paid,-14000000.0,-55000000.0,-127000000.0,-346000000.0
Change To Inventory,-35000000.0,-70000000.0,-20000000.0,-20000000.0
Change To Account Receivables,-120000000.0,-52000000.0,-227000000.0,309000000.0
Other Cashflows From Financing Activities,-27000000.0,-27000000.0,-14000000.0,-322000000.0
Change To Netincome,-75000000.0,574000000.0,994000000.0,728000000.0
Capital Expenditures,-2365000000.0,-3520000000.0,-2988000000.0,-1602000000.0
