,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Investments,-38000000.0,7000000.0,42000000.0,26000000.0,6000000.0,11000000.0,46000000.0,18000000.0,5000000.0,6000000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-307000000.0,-278000000.0,-357000000.0,-202000000.0,-327000000.0,-318000000.0,-375000000.0,-335000000.0,-379000000.0,-346000000.0
Net Borrowings,470000000.0,-11000000.0,-56000000.0,-84000000.0,1086000000.0,98000000.0,-8000000.0,988000000.0,194000000.0,-1000000.0
Total Cash From Financing Activities,39000000.0,-515000000.0,-757000000.0,-930000000.0,-83000000.0,-1103000000.0,-1193000000.0,73000000.0,-950000000.0,-1112000000.0
Change To Operating Activities,103000000.0,129000000.0,-122000000.0,167000000.0,33000000.0,151000000.0,-74000000.0,104000000.0,1000000.0,225000000.0
Net Income,392000000.0,569000000.0,671000000.0,673000000.0,819000000.0,753000000.0,760000000.0,703000000.0,819000000.0,958000000.0
Change In Cash,535000000.0,216000000.0,-244000000.0,-117000000.0,672000000.0,-205000000.0,-626000000.0,732000000.0,-312000000.0,-45000000.0
Repurchase Of Stock,-203000000.0,-291000000.0,-479000000.0,-591000000.0,-934000000.0,-935000000.0,-930000000.0,-600000000.0,-868000000.0,-816000000.0
Total Cash From Operating Activities,803000000.0,1009000000.0,870000000.0,1015000000.0,1082000000.0,1216000000.0,942000000.0,994000000.0,1017000000.0,1413000000.0
Depreciation,282000000.0,293000000.0,287000000.0,292000000.0,294000000.0,297000000.0,298000000.0,302000000.0,304000000.0,306000000.0
Dividends Paid,-240000000.0,-240000000.0,-238000000.0,-249000000.0,-247000000.0,-268000000.0,-264000000.0,-297000000.0,-294000000.0,-290000000.0
Change To Inventory,8000000.0,10000000.0,26000000.0,-20000000.0,-5000000.0,11000000.0,17000000.0,-46000000.0,-25000000.0,13000000.0
Change To Account Receivables,66000000.0,-62000000.0,35000000.0,-95000000.0,-1000000.0,-6000000.0,-31000000.0,-94000000.0,-136000000.0,56000000.0
Other Cashflows From Financing Activities,-6000000.0,-6000000.0,-6000000.0,-6000000.0,6000000.0,-18000000.0,-18000000.0,-18000000.0,18000000.0,-5000000.0
Change To Netincome,-48000000.0,70000000.0,-27000000.0,-2000000.0,-58000000.0,10000000.0,-28000000.0,25000000.0,54000000.0,-145000000.0
Capital Expenditures,-369000000.0,-318000000.0,-441000000.0,-265000000.0,-362000000.0,-398000000.0,-445000000.0,-389000000.0,-448000000.0,-445000000.0
Issuance Of Stock,12000000.0,27000000.0,16000000.0,6000000.0,6000000.0,2000000.0,9000000.0,,,
