,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,6000.0,,-77000.0,-77000.0,-77000.0,-77000.0,-26284000.0
Change To Liabilities,14001000.0,-59785000.0,150880000.0,-10691000.0,-7188000.0,-46400000.0,178947000.0
Total Cashflows From Investing Activities,-11536000.0,-11725000.0,-16892000.0,-10360000.0,-11961000.0,-963558000.0,-49834000.0
Net Borrowings,165493000.0,503750000.0,503750000.0,503750000.0,81755000.0,166435000.0,
Total Cash From Financing Activities,65030000.0,-274433000.0,-229554000.0,245542000.0,11316000.0,64391000.0,-91744000.0
Change To Operating Activities,20968000.0,46958000.0,20886000.0,-82183000.0,16903000.0,59735000.0,1061000.0
Net Income,115123000.0,182358000.0,156216000.0,196819000.0,165423000.0,169876000.0,193865000.0
Change In Cash,318121000.0,-82119000.0,-2337000.0,446626000.0,224855000.0,-687338000.0,136785000.0
Repurchase Of Stock,-31673000.0,-208999000.0,-164953000.0,-187154000.0,-620000.0,-5286000.0,-5314000.0
Effect Of Exchange Rate,2011000.0,4244000.0,8181000.0,-4013000.0,443000.0,-4062000.0,-1301000.0
Total Cash From Operating Activities,262616000.0,199795000.0,235928000.0,215457000.0,225057000.0,215891000.0,279664000.0
Depreciation,22153000.0,21771000.0,21647000.0,21639000.0,21397000.0,22537000.0,30202000.0
Other Cashflows From Investing Activities,,-911000.0,-911000.0,-911000.0,-911000.0,1000.0,-147000.0
Dividends Paid,-57031000.0,-65434000.0,-64601000.0,-66087000.0,-64470000.0,-85939000.0,-85953000.0
Change To Account Receivables,16205000.0,37717000.0,-127454000.0,50630000.0,18489000.0,205000.0,-168527000.0
Other Cashflows From Financing Activities,-11759000.0,-4967000.0,-4967000.0,-4967000.0,-5349000.0,-10819000.0,-477000.0
Change To Netincome,44632000.0,17436000.0,-40246000.0,23415000.0,40794000.0,-42009000.0,4703000.0
Capital Expenditures,-3984000.0,-4555000.0,-9674000.0,-664000.0,-1809000.0,-4646000.0,-12902000.0
