,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,34000000.0,-2215000000.0,-4302000000.0,-4014000000.0,-3612000000.0,-1759000000.0,-4833000000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-5176000000.0,-1880000000.0,-3023000000.0,-3998000000.0,-1525000000.0,-1050000000.0,-5006000000.0
Net Borrowings,-3335000000.0,393000000.0,320000000.0,-540000000.0,-291000000.0,-443000000.0,319000000.0
Total Cash From Financing Activities,4771000000.0,1736000000.0,2819000000.0,3547000000.0,1675000000.0,942000000.0,4838000000.0
Change To Operating Activities,42000000.0,-47000000.0,-20000000.0,155000000.0,-409000000.0,104000000.0,99000000.0
Issuance Of Stock,3000000.0,3000000.0,3000000.0,11000000.0,5000000.0,1000000.0,4000000.0
Net Income,66000000.0,175000000.0,284000000.0,322000000.0,354000000.0,240000000.0,213000000.0
Change In Cash,-160000000.0,6000000.0,-33000000.0,33000000.0,-51000000.0,72000000.0,-2000000.0
Repurchase Of Stock,-1000000.0,-50000000.0,-50000000.0,-50000000.0,-101000000.0,-324000000.0,-325000000.0
Total Cash From Operating Activities,245000000.0,150000000.0,171000000.0,484000000.0,-201000000.0,180000000.0,166000000.0
Depreciation,18000000.0,12000000.0,11000000.0,-3000000.0,-8000000.0,-11000000.0,8000000.0
Other Cashflows From Investing Activities,14000000.0,-1000000.0,10000000.0,13000000.0,-3000000.0,-2000000.0,23000000.0
Dividends Paid,-64000000.0,-65000000.0,-64000000.0,-66000000.0,-70000000.0,-70000000.0,
Other Cashflows From Financing Activities,8168000000.0,1408000000.0,2560000000.0,4192000000.0,2188000000.0,1778000000.0,4840000000.0
Change To Netincome,119000000.0,48000000.0,-37000000.0,-66000000.0,-147000000.0,-29000000.0,-86000000.0
Capital Expenditures,-54000000.0,-41000000.0,-48000000.0,-53000000.0,-31000000.0,-69000000.0,-53000000.0
