,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Change To Liabilities,63766000.0,-3565000.0,-20062000.0,-46764000.0
Total Cashflows From Investing Activities,-29572000.0,-118381000.0,-64724000.0,-67763000.0
Total Cash From Financing Activities,-124239000.0,-222954000.0,-496832000.0,-67458000.0
Change To Operating Activities,-33954000.0,23032000.0,102305000.0,29720000.0
Net Income,232769000.0,182106000.0,200300000.0,124766000.0
Change In Cash,23437000.0,85574000.0,-221531000.0,140125000.0
Repurchase Of Stock,-52090000.0,-60389000.0,-10233000.0,-1198000.0
Effect Of Exchange Rate,64000.0,9018000.0,778000.0,3537000.0
Total Cash From Operating Activities,177184000.0,417891000.0,339247000.0,271809000.0
Depreciation,73806000.0,73207000.0,69489000.0,67603000.0
Other Cashflows From Investing Activities,-4157000.0,-1258000.0,-1250000.0,-1250000.0
Dividends Paid,-71344000.0,-71284000.0,-71458000.0,-70671000.0
Change To Inventory,-75421000.0,29879000.0,61523000.0,-18947000.0
Change To Account Receivables,-116320000.0,90776000.0,-41686000.0,98630000.0
Other Cashflows From Financing Activities,-805000.0,-770000.0,-652000.0,-589000.0
Change To Netincome,2490000.0,3306000.0,9218000.0,14086000.0
Capital Expenditures,-31260000.0,-42128000.0,-44393000.0,-38999000.0
Net Borrowings,,-90511000.0,-414489000.0,5000000.0
