,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-131000000.0,-172000000.0,-149000000.0,-146000000.0,279000000.0
Change To Liabilities,195000000.0,-640000000.0,79000000.0,-28000000.0,408000000.0
Total Cashflows From Investing Activities,-1010000000.0,-1921000000.0,-5041000000.0,-411000000.0,-1597000000.0
Total Cash From Financing Activities,110000000.0,1432000000.0,2973000000.0,293000000.0,-95000000.0
Change To Operating Activities,8000000.0,-1336000000.0,45000000.0,-265000000.0,-134000000.0
Issuance Of Stock,85000000.0,101000000.0,123000000.0,1086000000.0,110000000.0
Net Income,104000000.0,1671000000.0,4700000000.0,-82000000.0,1041000000.0
Change In Cash,530000000.0,-188000000.0,-222000000.0,1388000000.0,173000000.0
Effect Of Exchange Rate,4000000.0,-8000000.0,10000000.0,-2000000.0,-6000000.0
Total Cash From Operating Activities,1426000000.0,310000000.0,1836000000.0,1508000000.0,1870000000.0
Depreciation,844000000.0,894000000.0,1011000000.0,1123000000.0,1093000000.0
Other Cashflows From Investing Activities,1000000.0,1000000.0,-198000000.0,14000000.0,14000000.0
Dividends Paid,-28000000.0,-28000000.0,-28000000.0,-28000000.0,-55000000.0
Change To Inventory,-107000000.0,-83000000.0,-290000000.0,-65000000.0,-346000000.0
Change To Account Receivables,-30000000.0,-110000000.0,-130000000.0,335000000.0,-279000000.0
Other Cashflows From Financing Activities,-98000000.0,-74000000.0,56000000.0,-206000000.0,-150000000.0
Change To Netincome,412000000.0,-86000000.0,-3579000000.0,490000000.0,87000000.0
Capital Expenditures,-319000000.0,-316000000.0,-461000000.0,-376000000.0,-554000000.0
Net Borrowings,123000000.0,1405000000.0,2794000000.0,-999000000.0,
Repurchase Of Stock,-535000000.0,-535000000.0,-535000000.0,-535000000.0,
