,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Intangible Assets,3000000.0,2000000.0,1000000.0,14000000.0,14000000.0,12000000.0,11000000.0,11000000.0,10000000.0,10000000.0
Capital Surplus,2173000000.0,2179000000.0,2185000000.0,2183000000.0,2163000000.0,2170000000.0,2175000000.0,2194000000.0,2204000000.0,2209000000.0
Total Liab,76595000000.0,75757000000.0,80079000000.0,78139000000.0,80424000000.0,86726000000.0,86719000000.0,82129000000.0,80454000000.0,79074000000.0
Total Stockholder Equity,7407000000.0,7480000000.0,7656000000.0,7758000000.0,7537000000.0,7409000000.0,7503000000.0,6642000000.0,6041000000.0,4675000000.0
Total Assets,84397000000.0,83631000000.0,88129000000.0,86291000000.0,88355000000.0,94529000000.0,94616000000.0,89165000000.0,86889000000.0,84143000000.0
Common Stock,1141000000.0,1141000000.0,1141000000.0,1141000000.0,1141000000.0,1141000000.0,1141000000.0,1141000000.0,1141000000.0,1141000000.0
Other Current Assets,4061000000.0,4211000000.0,3839000000.0,4278000000.0,4372000000.0,4310000000.0,3929000000.0,5130000000.0,5217000000.0,6369000000.0
Retained Earnings,9404000000.0,9511000000.0,9623000000.0,9975000000.0,10202000000.0,10366000000.0,10494000000.0,10585000000.0,10752000000.0,11005000000.0
Other Liab,232000000.0,231000000.0,296000000.0,203000000.0,195000000.0,196000000.0,237000000.0,200000000.0,227000000.0,48000000.0
Good Will,635000000.0,635000000.0,635000000.0,635000000.0,635000000.0,635000000.0,635000000.0,635000000.0,635000000.0,635000000.0
Treasury Stock,-5311000000.0,-5351000000.0,-5293000000.0,-5541000000.0,-5969000000.0,-6268000000.0,-6307000000.0,-7278000000.0,-8056000000.0,-9680000000.0
Other Assets,52439000000.0,51391000000.0,51428000000.0,49805000000.0,49576000000.0,47586000000.0,48782000000.0,49009000000.0,50891000000.0,51136000000.0
Cash,13311000000.0,11141000000.0,15632000000.0,14871000000.0,16501000000.0,23589000000.0,22679000000.0,13550000000.0,7533000000.0,1735000000.0
Total Current Liabilities,69842000000.0,69772000000.0,73771000000.0,75084000000.0,77375000000.0,83693000000.0,83390000000.0,79247000000.0,77597000000.0,76010000000.0
Other Stockholder Equity,158000000.0,116000000.0,168000000.0,-105000000.0,-120000000.0,-207000000.0,-212000000.0,-1173000000.0,-1954000000.0,-3587000000.0
Property Plant Equipment,450000000.0,456000000.0,765000000.0,456000000.0,454000000.0,447000000.0,771000000.0,444000000.0,422000000.0,412000000.0
Total Current Assets,18050000000.0,15997000000.0,20080000000.0,19718000000.0,21768000000.0,28925000000.0,27335000000.0,20181000000.0,14034000000.0,12339000000.0
Long Term Investments,12820000000.0,15150000000.0,15220000000.0,15663000000.0,15908000000.0,16924000000.0,17082000000.0,18885000000.0,20897000000.0,19611000000.0
Net Tangible Assets,6769000000.0,6843000000.0,7020000000.0,7109000000.0,6888000000.0,6762000000.0,6857000000.0,5996000000.0,5396000000.0,4030000000.0
Short Term Investments,,,,,,,,,,4235000000.0
Long Term Debt,6521000000.0,5754000000.0,5728000000.0,2852000000.0,2854000000.0,2837000000.0,2796000000.0,2682000000.0,2630000000.0,3016000000.0
Accounts Payable,67720000000.0,68459000000.0,72869000000.0,73807000000.0,76066000000.0,82284000000.0,82339000000.0,77608000000.0,75765000000.0,73016000000.0
Other Current Liab,40000000.0,41000000.0,37000000.0,31000000.0,37000000.0,38000000.0,38000000.0,40000000.0,42000000.0,
Inventory,11000000.0,10000000.0,9000000.0,9000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,
