,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-1442000.0,-44498000.0,32077000.0,-15956000.0,-4405000.0,-12810000.0,-41788000.0
Change To Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,52150000.0,-130837000.0,-168111000.0,41039000.0,-355776000.0,-606538000.0,-350978000.0
Net Borrowings,-116457000.0,167041000.0,63614000.0,8296000.0,269231000.0,73269000.0,-108818000.0
Total Cash From Financing Activities,-233762000.0,-7416000.0,20358000.0,-154215000.0,150694000.0,446689000.0,169372000.0
Change To Operating Activities,18011000.0,-11304000.0,-21980000.0,-21329000.0,20108000.0,-16185000.0,-4601000.0
Issuance Of Stock,102234000.0,102234000.0,102234000.0,499337000.0,499337000.0,499337000.0,399716000.0
Net Income,57771000.0,-25258000.0,26532000.0,3104000.0,11720000.0,17731000.0,117461000.0
Change In Cash,-53000.0,1324000.0,-29000.0,10429000.0,1470000.0,-6837000.0,-815000.0
Total Cash From Operating Activities,181559000.0,139577000.0,147724000.0,123605000.0,206552000.0,153012000.0,180791000.0
Depreciation,157083000.0,155836000.0,148209000.0,146689000.0,148771000.0,155905000.0,168468000.0
Other Cashflows From Investing Activities,-4440000.0,-1053000.0,-892000.0,2800000.0,-3860000.0,113875000.0,-1125000.0
Dividends Paid,-107265000.0,-107266000.0,-107091000.0,-107878000.0,-108664000.0,-108659000.0,-112804000.0
Other Cashflows From Financing Activities,-10040000.0,-47396000.0,-38399000.0,-54633000.0,-9873000.0,-17258000.0,-8722000.0
Change To Netincome,-51306000.0,20303000.0,-5037000.0,-4859000.0,25953000.0,-4439000.0,-100537000.0
Capital Expenditures,-4879000.0,-3987000.0,337000.0,-3041000.0,-4113000.0,-2933000.0,-53000.0
Repurchase Of Stock,-19795000.0,-19795000.0,,,,,
