,2020-05-31,2019-05-31,2018-05-31,2017-05-31
Change To Liabilities,-1787000000.0,-571000000.0,141000000.0,103000000.0
Total Cashflows From Investing Activities,-5846000000.0,-5473000000.0,-5677000000.0,-4981000000.0
Net Borrowings,4008000000.0,1027000000.0,1442000000.0,1108000000.0
Total Cash From Financing Activities,3381000000.0,-1039000000.0,227000000.0,528000000.0
Change To Operating Activities,-974000000.0,-1047000000.0,-2552000000.0,-1749000000.0
Issuance Of Stock,64000000.0,101000000.0,327000000.0,337000000.0
Net Income,1286000000.0,540000000.0,4572000000.0,2997000000.0
Change In Cash,2562000000.0,-946000000.0,-704000000.0,435000000.0
Repurchase Of Stock,-3000000.0,-1480000000.0,-1017000000.0,-509000000.0
Effect Of Exchange Rate,-70000000.0,-47000000.0,72000000.0,-42000000.0
Total Cash From Operating Activities,5097000000.0,5613000000.0,4674000000.0,4930000000.0
Depreciation,3615000000.0,3353000000.0,3095000000.0,2995000000.0
Dividends Paid,-679000000.0,-683000000.0,-535000000.0,-426000000.0
Change To Account Receivables,-1331000000.0,-873000000.0,-1049000000.0,-556000000.0
Other Cashflows From Financing Activities,-9000000.0,-4000000.0,10000000.0,18000000.0
Change To Netincome,4288000000.0,4211000000.0,467000000.0,1140000000.0
Capital Expenditures,-5868000000.0,-5490000000.0,-5663000000.0,-5116000000.0
