,2018-02-03,2019-02-02,2020-02-01,2021-01-30
Investments,-55000000.0,15000000.0,20000000.0,16000000.0
Change To Liabilities,1307000000.0,1127000000.0,140000000.0,2925000000.0
Total Cashflows From Investing Activities,-3075000000.0,-3416000000.0,-2944000000.0,-2591000000.0
Net Borrowings,-1453000000.0,-281000000.0,-330000000.0,65000000.0
Total Cash From Financing Activities,-3729000000.0,-3644000000.0,-3152000000.0,-2000000000.0
Change To Operating Activities,263000000.0,-210000000.0,217000000.0,1794000000.0
Issuance Of Stock,108000000.0,96000000.0,73000000.0,23000000.0
Net Income,2914000000.0,2937000000.0,3281000000.0,4368000000.0
Change In Cash,131000000.0,-1087000000.0,1021000000.0,5934000000.0
Repurchase Of Stock,-1046000000.0,-2124000000.0,-1565000000.0,-745000000.0
Total Cash From Operating Activities,6935000000.0,5973000000.0,7117000000.0,10525000000.0
Depreciation,2476000000.0,2474000000.0,2604000000.0,2485000000.0
Dividends Paid,-1338000000.0,-1335000000.0,-1330000000.0,-1343000000.0
Change To Inventory,-348000000.0,-900000000.0,505000000.0,-1661000000.0
Change To Netincome,323000000.0,545000000.0,370000000.0,614000000.0
Capital Expenditures,-2533000000.0,-3516000000.0,-3027000000.0,-2649000000.0
