Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-19,5.2,5.33,4.58,4.6,18483,0,0
2020-10-20,4.5,4.75,4.35,4.65,6028,0,0
2020-10-21,4.7,4.9,4.3,4.4,789,0,0
2020-10-22,4.43,4.43,3.96,4.05,2073,0,0
2020-10-23,3.95,3.99,3.8,3.95,1132,0,0
2020-10-26,4.15,4.15,3.4,3.55,10194,0,0
2020-10-27,4.05,4.55,3.9,4.52,8613,0,0
2020-10-28,4.2,4.35,3.95,4.15,3308,0,0
2020-10-29,4.8,6.45,4.8,6.45,69416,0,0
2020-10-30,5.88,6.1,5.3,5.7,50148,0,0
2020-11-02,7.34,7.9,6.25,7.25,293710,0,0
2020-11-03,7.1,8.5,6.9,8.2,55258,0,0
2020-11-04,9.3,11.0,8.55,9.65,281324,0,0
2020-11-05,10.05,12.88,10.05,12.88,369353,0,0
2020-11-06,11.85,13.7,11.7,12.5,53013,0,0
2020-11-09,12.4,15.04,12.2,14.43,184966,0,0
2020-11-10,14.3,15.0,10.6,12.8,78844,0,0
2020-11-11,11.0,13.3,10.95,13.3,34218,0,0
2020-11-12,13.46,18.25,13.46,17.3,50360,0,0
2020-11-13,20.0,22.3,12.9,15.9,82680,0,0
2020-11-16,13.0,16.45,13.0,15.85,16984,0,0
2020-11-17,17.0,18.43,15.8,16.45,6099,0,0
2020-11-18,15.4,16.35,13.83,15.2,4488,0,0
2020-11-19,16.25,17.9,16.25,17.51,2838,0,0
2020-11-20,17.5,18.8,17.4,18.0,1191,0,0
2020-11-23,19.5,23.0,19.47,23.0,9520,0,0
2020-11-24,22.9,23.25,20.1,21.8,4389,0,0
2020-11-25,20.2,21.95,20.2,21.77,1804,0,0
2020-11-30,21.36,21.36,18.0,20.15,1548,0,0
2020-12-01,19.22,19.22,14.72,15.5,13285,0,0
2020-12-02,10.89,17.31,10.89,17.31,7542,0,0
2020-12-03,17.25,17.25,15.48,15.6,3105,0,0
2020-12-04,13.7,14.86,13.4,13.85,20586,0,0
2020-12-07,14.9,15.63,14.8,15.32,2620,0,0
2020-12-08,16.42,17.0,15.4,15.92,5041,0,0
2020-12-09,15.35,15.4,14.05,14.05,965,0,0
2020-12-10,13.36,15.07,13.36,14.71,1379,0,0
2020-12-11,12.85,13.5,12.05,12.45,11044,0,0
2020-12-17,14.85,14.85,14.85,14.85,0,0,0
2020-12-18,15.05,16.05,14.9,15.0,901,0,0
2020-12-21,15.01,17.0,14.85,16.5,2594,0,0
2020-12-22,16.8,16.8,14.8,15.88,3837,0,0
2020-12-23,16.0,16.0,15.0,15.0,78,0,0
2020-12-28,14.83,14.83,12.8,12.96,3841,0,0
2020-12-29,12.0,14.1,11.8,14.1,2687,0,0
2020-12-30,14.77,15.63,14.05,15.6,2393,0,0
2020-12-31,15.3,17.35,15.3,16.0,5035,0,0
2021-01-04,18.65,20.01,18.04,19.5,5773,0,0
2021-01-05,18.33,19.4,18.3,19.3,1092,0,0
2021-01-06,20.75,20.75,16.15,17.15,615,0,0
2021-01-07,18.55,19.95,18.24,19.4,1584,0,0
2021-01-08,21.95,23.15,20.6,23.1,14436,0,0
2021-01-11,28.05,28.5,26.7,26.9,2934,0,0
2021-01-12,25.23,27.5,24.8,26.75,1192,0,0
2021-01-13,27.4,27.4,26.0,26.31,536,0,0
2021-01-14,26.15,26.15,24.5,24.9,769,0,0
2021-01-15,24.2,24.2,21.0,21.7,3130,0,0
2021-01-19,23.1,23.1,21.65,23.0,415,0,0
2021-01-20,23.45,23.5,21.61,21.9,441,0,0
2021-01-21,20.45,22.55,20.45,22.3,450,0,0
2021-01-22,21.66,25.3,21.66,25.21,246,0,0
2021-01-25,26.7,27.35,23.77,23.77,238,0,0
2021-01-26,23.78,23.78,22.75,23.68,319,0,0
2021-01-27,21.35,22.95,21.1,21.1,851,0,0
2021-01-28,20.4,22.57,20.12,22.57,326,0,0
2021-01-29,23.75,23.75,21.5,21.93,519,0,0
2021-02-01,20.89,21.4,19.5,21.2,301,0,0
2021-02-02,20.15,20.25,20.05,20.18,816,0,0
2021-02-03,21.08,22.4,21.07,21.8,511,0,0
2021-02-04,21.25,21.45,21.25,21.45,64,0,0
2021-02-05,20.4,20.4,19.8,19.8,44,0,0
2021-02-08,21.01,22.3,21.01,22.3,99,0,0
2021-02-09,23.01,25.56,22.85,25.56,1345,0,0
2021-02-10,26.5,26.5,23.7,23.8,134,0,0
2021-02-11,24.5,24.75,22.72,22.85,1310,0,0
2021-02-12,22.4,23.5,22.2,22.59,48,0,0
2021-02-16,24.2,24.2,22.2,22.27,117,0,0
2021-02-17,20.4,20.7,19.21,20.15,322,0,0
2021-02-18,19.0,19.07,17.2,18.35,290,0,0
2021-02-19,18.0,18.3,17.9,18.15,2151,0,0
2021-02-22,17.75,17.75,15.0,15.0,260,0,0
2021-02-23,8.85,14.04,8.85,13.92,5115,0,0
2021-02-24,15.2,15.45,13.0,15.45,227,0,0
2021-02-25,14.8,14.8,12.0,12.15,2495,0,0
2021-02-26,12.65,12.65,10.69,11.65,750,0,0
2021-03-01,13.0,14.17,12.9,13.91,774,0,0
2021-03-02,10.28,11.0,8.2,8.61,21260,0,0
2021-03-03,9.5,9.5,7.3,7.5,8959,0,0
2021-03-04,7.65,7.65,5.7,6.17,42628,0,0
2021-03-05,6.12,6.12,3.25,6.0,211137,0,0
2021-03-08,5.2,6.5,4.15,4.2,76486,0,0
2021-03-09,5.4,7.55,4.95,7.24,73973,0,0
2021-03-10,8.8,9.7,6.75,7.2,90358,0,0
2021-03-11,8.7,10.25,8.05,10.19,17008,0,0
2021-03-12,8.08,10.0,8.08,9.85,4895,0,0
2021-03-15,9.5,10.15,9.11,9.2,4229,0,0
2021-03-16,9.0,9.5,8.0,8.3,1870,0,0
2021-03-17,7.0,8.98,6.8,8.82,2745,0,0
2021-03-18,8.0,8.4,6.99,6.99,3623,0,0
2021-03-19,6.75,7.7,6.4,7.64,17523,0,0
2021-03-22,8.05,8.2,6.93,6.93,15921,0,0
2021-03-23,6.7,6.8,5.3,5.35,12399,0,0
2021-03-24,5.2,5.2,3.35,3.46,405735,0,0
2021-03-25,2.82,4.4,2.82,3.9,65128,0,0
2021-03-26,2.9,3.55,2.63,3.55,1959066,0,0
2021-03-29,3.1,3.75,2.63,3.02,61046,0,0
2021-03-30,2.83,3.73,2.6,3.55,85605,0,0
2021-03-31,4.0,4.24,3.5,4.1,230270,0,0
2021-04-01,5.3,5.57,4.11,4.2,1233995,0,0
2021-04-05,4.52,4.58,3.7,3.95,150456,0,0
2021-04-06,3.72,4.35,3.63,4.11,110798,0,0
2021-04-07,3.88,3.88,2.71,2.82,443551,0,0
2021-04-08,2.8,3.3,2.8,2.98,242610,0,0
2021-04-09,2.65,2.74,2.29,2.73,309927,0,0
2021-04-12,2.64,2.64,2.04,2.19,375963,0,0
2021-04-13,2.27,2.8,2.27,2.7,603229,0,0
2021-04-14,3.0,3.02,2.1,2.18,1532418,0,0
2021-04-15,2.1,2.17,1.53,1.79,1590167,0,0
2021-04-16,1.49,1.86,1.35,1.61,1343007,0,0
2021-04-19,1.7,2.32,1.56,2.04,1026615,0,0
2021-04-20,2.15,2.36,1.6,1.9,706736,0,0
2021-04-21,1.78,2.65,1.64,2.6,1494462,0,0
2021-04-22,2.62,3.4,2.42,2.88,2590221,0,0
2021-04-23,3.15,3.65,2.92,3.55,1180484,0,0
2021-04-26,4.0,5.0,3.45,4.59,861998,0,0
2021-04-27,4.7,4.83,3.53,3.57,208164,0,0
2021-04-28,3.11,3.95,3.11,3.37,123135,0,0
2021-04-29,3.3,3.45,2.14,2.31,749308,0,0
2021-04-30,1.65,3.13,1.5,2.04,1207097,0,0
