,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Investments,-7500000.0,-7500000.0,-12500000.0,5700000.0
Change To Liabilities,154100000.0,42600000.0,-37000000.0,800000.0
Total Cashflows From Investing Activities,1786100000.0,-266700000.0,-665600000.0,-159800000.0
Net Borrowings,-463200000.0,222400000.0,333100000.0,-116200000.0
Total Cash From Financing Activities,-1889700000.0,-478300000.0,139900000.0,-261700000.0
Change To Operating Activities,54600000.0,88500000.0,-7100000.0,-44500000.0
Net Income,814900000.0,193100000.0,263000000.0,502900000.0
Change In Cash,207400000.0,-322300000.0,-9300000.0,286300000.0
Repurchase Of Stock,-1324200000.0,-590500000.0,-78100000.0,-44600000.0
Effect Of Exchange Rate,-113400000.0,-5300000.0,5300000.0,-29200000.0
Total Cash From Operating Activities,424400000.0,428000000.0,511100000.0,737000000.0
Depreciation,120000000.0,131200000.0,194500000.0,174200000.0
Other Cashflows From Investing Activities,2086400000.0,-13700000.0,-8200000.0,2000000.0
Dividends Paid,-119700000.0,-104100000.0,-99100000.0,-100400000.0
Change To Inventory,-55400000.0,-61200000.0,12400000.0,-25200000.0
Change To Account Receivables,-81400000.0,-900000.0,38100000.0,27400000.0
Other Cashflows From Financing Activities,17400000.0,-6100000.0,-16000000.0,-500000.0
Change To Netincome,-375300000.0,51100000.0,26300000.0,132700000.0
Capital Expenditures,-183800000.0,-168600000.0,-189700000.0,-181100000.0
