,2017-12-30,2018-12-29,2019-12-28,2021-01-02
Change To Liabilities,-2200000.0,27500000.0,-2600000.0,17800000.0
Total Cashflows From Investing Activities,-341400000.0,-210200000.0,-222100000.0,-187800000.0
Net Borrowings,178400000.0,-57500000.0,17600000.0,302700000.0
Total Cash From Financing Activities,-256100000.0,-502200000.0,-409400000.0,-84300000.0
Change To Operating Activities,-3800000.0,-55600000.0,-119900000.0,104100000.0
Issuance Of Stock,46200000.0,55500000.0,51400000.0,55800000.0
Net Income,557700000.0,679900000.0,693500000.0,627000000.0
Change In Cash,14400000.0,48900000.0,43600000.0,738900000.0
Repurchase Of Stock,-287900000.0,-284100000.0,-238400000.0,-174300000.0
Effect Of Exchange Rate,3400000.0,-3200000.0,500000.0,2400000.0
Total Cash From Operating Activities,608500000.0,764500000.0,674600000.0,1008600000.0
Depreciation,78500000.0,80700000.0,82300000.0,86200000.0
Other Cashflows From Investing Activities,1300000.0,900000.0,1800000.0,2200000.0
Dividends Paid,-169400000.0,-192000000.0,-216600000.0,-243300000.0
Change To Inventory,-76000000.0,-38600000.0,-97000000.0,34200000.0
Change To Account Receivables,-97300000.0,-78600000.0,-36600000.0,18000000.0
Other Cashflows From Financing Activities,-23400000.0,-24100000.0,-23400000.0,-25200000.0
Change To Netincome,136900000.0,135800000.0,144800000.0,110800000.0
Capital Expenditures,-82000000.0,-90900000.0,-99400000.0,-65600000.0
