,2020-06-27,2020-09-26,2021-01-02,2021-04-03,2021-07-03,2021-10-02
Change To Liabilities,-10000000.0,18400000.0,7500000.0,17500000.0,42000000.0,-11200000.0
Total Cashflows From Investing Activities,-45600000.0,-18800000.0,-73600000.0,-207200000.0,-29700000.0,-29700000.0
Net Borrowings,341800000.0,2300000.0,500000.0,2400000.0,500000.0,-249900000.0
Total Cash From Financing Activities,289500000.0,-105100000.0,-111600000.0,-131000000.0,-147900000.0,-385800000.0
Change To Operating Activities,46100000.0,23700000.0,19200000.0,46900000.0,-49500000.0,26600000.0
Issuance Of Stock,12300000.0,2700000.0,39300000.0,93000000.0,61800000.0,3600000.0
Net Income,101200000.0,179700000.0,208900000.0,192600000.0,208000000.0,196200000.0
Change In Cash,500400000.0,101300000.0,135900000.0,-18800000.0,61300000.0,-230400000.0
Repurchase Of Stock,-45100000.0,-45100000.0,-78700000.0,-151900000.0,-137400000.0,-66500000.0
Effect Of Exchange Rate,2900000.0,1200000.0,3500000.0,100000.0,700000.0,-1300000.0
Total Cash From Operating Activities,253600000.0,224000000.0,317600000.0,319300000.0,238200000.0,186400000.0
Depreciation,23800000.0,23900000.0,14700000.0,24700000.0,25500000.0,24900000.0
Other Cashflows From Investing Activities,300000.0,2500000.0,3800000.0,1700000.0,1700000.0,-2200000.0
Dividends Paid,-58700000.0,-58800000.0,-66800000.0,-66700000.0,-66700000.0,-66300000.0
Change To Inventory,-8200000.0,28400000.0,37800000.0,8300000.0,-24400000.0,-38500000.0
Change To Account Receivables,65200000.0,-69000000.0,-13700000.0,-4200000.0,4700000.0,-36100000.0
Other Cashflows From Financing Activities,-5900000.0,-6200000.0,-5900000.0,-7800000.0,-6100000.0,-6700000.0
Change To Netincome,35500000.0,18900000.0,32700000.0,33500000.0,31900000.0,24500000.0
Capital Expenditures,-11800000.0,-10100000.0,-26500000.0,-19300000.0,-18300000.0,-16200000.0
