,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Total Liab,5574000000.0,5974000000.0,9305000000.0,9317000000.0,9841000000.0,9471000000.0,9313000000.0,9340000000.0,8973000000.0,9040000000.0
Total Stockholder Equity,4611000000.0,4757000000.0,6428000000.0,6367000000.0,6649000000.0,6646000000.0,6948000000.0,7050000000.0,6889000000.0,6775000000.0
Minority Interest,152000000.0,161000000.0,296000000.0,287000000.0,373000000.0,374000000.0,314000000.0,288000000.0,282000000.0,262000000.0
Other Current Liab,159000000.0,152000000.0,897000000.0,924000000.0,928000000.0,906000000.0,851000000.0,823000000.0,769000000.0,1360000000.0
Total Assets,10337000000.0,10892000000.0,16029000000.0,15971000000.0,16863000000.0,16491000000.0,16575000000.0,16678000000.0,16144000000.0,16077000000.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,6775000000.0
Other Liab,842000000.0,988000000.0,1585000000.0,1512000000.0,1463000000.0,1387000000.0,1102000000.0,1105000000.0,1019000000.0,1144000000.0
Other Assets,395000000.0,372000000.0,568000000.0,558000000.0,590000000.0,565000000.0,600000000.0,617000000.0,607000000.0,5524000000.0
Cash,2003000000.0,2121000000.0,1650000000.0,1755000000.0,1553000000.0,1507000000.0,1841000000.0,1501000000.0,1390000000.0,1241000000.0
Total Current Liabilities,1970000000.0,2199000000.0,3810000000.0,3921000000.0,3862000000.0,3637000000.0,3798000000.0,3859000000.0,3651000000.0,3816000000.0
Property Plant Equipment,2781000000.0,2824000000.0,4802000000.0,4668000000.0,4744000000.0,4598000000.0,4580000000.0,4521000000.0,4327000000.0,4006000000.0
Total Current Assets,4641000000.0,5165000000.0,6167000000.0,6582000000.0,6537000000.0,6462000000.0,6597000000.0,6640000000.0,6480000000.0,6547000000.0
Net Tangible Assets,2406000000.0,2531000000.0,2705000000.0,2712000000.0,2152000000.0,2227000000.0,2578000000.0,2515000000.0,2522000000.0,6775000000.0
Net Receivables,1581000000.0,2026000000.0,2935000000.0,3168000000.0,3085000000.0,2911000000.0,2915000000.0,3185000000.0,3152000000.0,3363000000.0
Long Term Debt,2762000000.0,2787000000.0,3726000000.0,3708000000.0,4348000000.0,4288000000.0,4250000000.0,4223000000.0,4156000000.0,4080000000.0
Inventory,836000000.0,815000000.0,1286000000.0,1361000000.0,1567000000.0,1649000000.0,1534000000.0,1644000000.0,1653000000.0,1658000000.0
Accounts Payable,1514000000.0,1995000000.0,2352000000.0,2485000000.0,2367000000.0,2131000000.0,2276000000.0,2465000000.0,2298000000.0,2400000000.0
Intangible Assets,375000000.0,371000000.0,1096000000.0,1059000000.0,1172000000.0,1134000000.0,1091000000.0,1147000000.0,1083000000.0,
Capital Surplus,1115000000.0,1128000000.0,2614000000.0,2589000000.0,2602000000.0,2617000000.0,2637000000.0,2617000000.0,2633000000.0,
Other Current Assets,2000000.0,203000000.0,199000000.0,207000000.0,242000000.0,322000000.0,216000000.0,213000000.0,212000000.0,
Retained Earnings,5903000000.0,5979000000.0,6296000000.0,6321000000.0,6527000000.0,6582000000.0,6671000000.0,6830000000.0,7005000000.0,
Good Will,1830000000.0,1855000000.0,2627000000.0,2596000000.0,3325000000.0,3285000000.0,3279000000.0,3388000000.0,3284000000.0,
Treasury Stock,-2410000000.0,-2353000000.0,-2485000000.0,-2546000000.0,-2483000000.0,-2556000000.0,-2363000000.0,-2400000000.0,-2752000000.0,
Deferred Long Term Asset Charges,,,291000000.0,291000000.0,317000000.0,282000000.0,254000000.0,270000000.0,229000000.0,
Short Long Term Debt,252000000.0,2000000.0,2000000.0,4000000.0,12000000.0,10000000.0,2000000.0,4000000.0,4000000.0,
Other Stockholder Equity,-787000000.0,-730000000.0,-651000000.0,-736000000.0,-673000000.0,-746000000.0,-551000000.0,-564000000.0,-816000000.0,
Long Term Investments,315000000.0,305000000.0,769000000.0,508000000.0,495000000.0,447000000.0,428000000.0,365000000.0,363000000.0,
