,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,1031000000.0,1104000000.0,1610000000.0,1616000000.0,1893000000.0
Capital Surplus,18781000000.0,18815000000.0,18891000000.0,18940000000.0,19005000000.0
Total Liab,132066000000.0,139701000000.0,143532000000.0,160676000000.0,164989000000.0
Total Stockholder Equity,20023000000.0,19977000000.0,20631000000.0,20708000000.0,21406000000.0
Total Assets,152336000000.0,160518000000.0,165733000000.0,183349000000.0,188409000000.0
Common Stock,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0
Other Current Assets,2763000000.0,4313000000.0,5983000000.0,4507000000.0,3974000000.0
Retained Earnings,4164000000.0,5385000000.0,6498000000.0,6445000000.0,7978000000.0
Other Liab,2231000000.0,2592000000.0,3057000000.0,4795000000.0,2625000000.0
Good Will,6887000000.0,6923000000.0,7044000000.0,7050000000.0,7116000000.0
Treasury Stock,-2928000000.0,-4229000000.0,-4764000000.0,-4683000000.0,-5583000000.0
Other Assets,112576000000.0,119640000000.0,121675000000.0,125396000000.0,132486000000.0
Cash,987000000.0,1081000000.0,1286000000.0,12733000000.0,9158000000.0
Total Current Liabilities,118070000000.0,122676000000.0,128207000000.0,148888000000.0,156806000000.0
Short Long Term Debt,,1492000000.0,2500000000.0,1353000000.0,2017000000.0
Other Stockholder Equity,-820000000.0,-1096000000.0,-411000000.0,-60000000.0,-665000000.0
Property Plant Equipment,685000000.0,791000000.0,1460000000.0,1559000000.0,1534000000.0
Total Current Assets,4601000000.0,5893000000.0,8373000000.0,19461000000.0,14664000000.0
Long Term Investments,26556000000.0,26167000000.0,25571000000.0,28267000000.0,30716000000.0
Net Tangible Assets,12303000000.0,12171000000.0,12619000000.0,12700000000.0,13426000000.0
Short Term Investments,192000000.0,148000000.0,297000000.0,306000000.0,316000000.0
Long Term Debt,11765000000.0,14433000000.0,11547000000.0,6993000000.0,4915000000.0
Accounts Payable,115089000000.0,119575000000.0,125313000000.0,147164000000.0,154361000000.0
Inventory,36000000.0,34000000.0,,,
Net Receivables,6000000.0,,,,
