,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Change To Liabilities,1007000.0,10008000.0,-1523000.0,2970000.0,4929000.0,4811000.0,1230000.0,0.0,6313000.0
Total Cashflows From Investing Activities,-6364000.0,-7774000.0,79890000.0,7455000.0,-57238000.0,-14195000.0,-193692000.0,45116000.0,45116000.0
Net Borrowings,-444000.0,-443000.0,-444000.0,-444000.0,-444000.0,-443000.0,-444000.0,157000.0,157000.0
Total Cash From Financing Activities,-426409000.0,485529000.0,53982000.0,685369000.0,-306734000.0,905364000.0,-1118275000.0,-620897000.0,-620897000.0
Change To Operating Activities,-21768000.0,187000.0,-29586000.0,-31409000.0,-22906000.0,-9390000.0,-18000000.0,-32498000.0,-32498000.0
Net Income,28589000.0,27482000.0,24367000.0,64616000.0,52278000.0,30379000.0,48687000.0,0.0,57355000.0
Change In Cash,-407291000.0,544571000.0,186751000.0,782281000.0,-306986000.0,974363000.0,-1222242000.0,-524054000.0,-524054000.0
Repurchase Of Stock,-67121000.0,-2850000.0,-36712000.0,-377000.0,-31978000.0,-28794000.0,-4431000.0,-99227000.0,-99227000.0
Total Cash From Operating Activities,25482000.0,66816000.0,52879000.0,89457000.0,56986000.0,83194000.0,89725000.0,51727000.0,51727000.0
Depreciation,13075000.0,13783000.0,-12800000.0,14916000.0,16017000.0,17321000.0,-17532000.0,22568000.0,22568000.0
Other Cashflows From Investing Activities,20368000.0,13270000.0,100490000.0,32785000.0,-19836000.0,11291000.0,-155718000.0,78363000.0,78363000.0
Change To Inventory,-687000.0,465000.0,-73000.0,-125000.0,205000.0,17000.0,384000.0,-1290000.0,-1290000.0
Change To Account Receivables,-1236000.0,-3060000.0,3225000.0,-10662000.0,-113000.0,6901000.0,3514000.0,-2133000.0,-2133000.0
Other Cashflows From Financing Activities,-358844000.0,488822000.0,91138000.0,686190000.0,-274312000.0,934601000.0,-1113400000.0,-521827000.0,-521827000.0
Change To Netincome,26769000.0,22899000.0,43327000.0,25718000.0,27541000.0,35360000.0,41135000.0,24654000.0,24654000.0
Capital Expenditures,-26732000.0,-21044000.0,-20600000.0,-25330000.0,-37402000.0,-23986000.0,-33974000.0,-33247000.0,-33247000.0
