Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-06-01-00-00-00,33.700001,34.77,33.040001000000004,34.599998,34.599998,21612000,,
2021-06-02-00-00-00,34.5,36.23,34.15,35.0,,17256700,0.0,0.0
2021-06-03-00-00-00,34.84,37.06,34.28,35.95,,15989700,0.0,0.0
2021-06-04-00-00-00,36.37,37.72,35.9,37.11,,13185900,0.0,0.0
2021-06-07-00-00-00,37.07,38.77,36.69,38.36,,14478900,0.0,0.0
2021-06-08-00-00-00,38.97,40.16,38.69,39.65,,21313500,0.0,0.0
2021-06-09-00-00-00,40.1,40.24,37.77,38.07,,13997800,0.0,0.0
2021-06-10-00-00-00,38.2,39.17,38.03,38.61,,9932300,0.0,0.0
2021-06-11-00-00-00,38.900002,41.77,38.68,41.5,41.5,19257100,,
2021-06-14-00-00-00,41.94,43.2,41.45,42.6,,14439100,0.0,0.0
2021-06-15-00-00-00,41.25,42.0,40.05,40.17,,16102300,0.0,0.0
2021-06-16-00-00-00,38.87,41.26,38.64,41.03,,14648900,0.0,0.0
2021-06-17-00-00-00,41.09,44.4,40.96,44.24,,19008900,0.0,0.0
2021-06-18-00-00-00,44.64,45.75,44.43,45.23,,34853100,0.0,0.0
2021-06-21-00-00-00,44.93,45.0,42.08,43.63,,14259300,0.0,0.0
2021-06-22-00-00-00,42.450001,43.549999,39.709998999999996,39.990002000000004,39.990002000000004,24086700,,
2021-06-23-00-00-00,42.02,42.73,41.049999,41.610001000000004,41.610001000000004,16853400,,
2021-06-24-00-00-00,42.200001,42.27,40.16,40.950001,40.950001,14746200,,
2021-06-25-00-00-00,41.150002,42.450001,40.771999,42.16,42.16,11339500,,
2021-06-28-00-00-00,42.400002,45.529999,42.360001000000004,45.310001,45.310001,15932800,,
2021-06-29-00-00-00,44.15,45.1,43.37,44.32,,14390200,0.0,0.0
2021-06-30-00-00-00,43.23,44.78,43.03,44.42,,22597400,0.0,0.0
