,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,659000000.0,569000000.0,490000000.0,484000000.0,419000000.0
Total Liab,6426000000.0,6920000000.0,7361000000.0,13911000000.0,15263000000.0
Total Stockholder Equity,1965000000.0,1569000000.0,1700000000.0,-3862000000.0,-3625000000.0
Minority Interest,698000000.0,646000000.0,626000000.0,661000000.0,641000000.0
Other Current Liab,2118000000.0,2482000000.0,2427000000.0,2755000000.0,2830000000.0
Total Assets,9089000000.0,9135000000.0,9687000000.0,10710000000.0,12279000000.0
Common Stock,2552000000.0,2277000000.0,2458000000.0,59000000.0,119000000.0
Other Current Assets,222000000.0,269000000.0,251000000.0,446000000.0,2292000000.0
Retained Earnings,,,,-3106000000.0,-2256000000.0
Other Liab,1493000000.0,1617000000.0,1596000000.0,1609000000.0,1431000000.0
Good Will,1737000000.0,1688000000.0,1647000000.0,1773000000.0,1667000000.0
Treasury Stock,-587000000.0,-708000000.0,-758000000.0,-815000000.0,-1488000000.0
Other Assets,555000000.0,588000000.0,636000000.0,644000000.0,632000000.0
Cash,1554000000.0,1329000000.0,1446000000.0,1782000000.0,1565000000.0
Total Current Liabilities,4933000000.0,5303000000.0,5374000000.0,6673000000.0,6247000000.0
Deferred Long Term Asset Charges,341000000.0,364000000.0,373000000.0,334000000.0,335000000.0
Other Stockholder Equity,-587000000.0,-708000000.0,-758000000.0,-815000000.0,-763000000.0
Property Plant Equipment,626000000.0,678000000.0,1256000000.0,1316000000.0,1300000000.0
Total Current Assets,5512000000.0,5612000000.0,5658000000.0,6493000000.0,8261000000.0
Net Tangible Assets,-431000000.0,-688000000.0,-437000000.0,-6119000000.0,-5711000000.0
Net Receivables,2634000000.0,3377000000.0,3390000000.0,3606000000.0,3782000000.0
Long Term Debt,,,5000000.0,5262000000.0,7249000000.0
Inventory,1102000000.0,637000000.0,571000000.0,659000000.0,622000000.0
Accounts Payable,1303000000.0,1351000000.0,1331000000.0,1453000000.0,1556000000.0
Capital Surplus,,,,,
