,2020-07-03,2020-10-02,2021-01-01,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01
Intangible Assets,941000000.0,758000000.0,596000000.0,519000000.0,442000000.0,364000000.0,300000000.0,252000000.0
Capital Surplus,3717000000.0,3537000000.0,3546000000.0,3603000000.0,3608000000.0,3401000000.0,3519000000.0,3600000000.0
Total Liab,16111000000.0,15826000000.0,15723000000.0,15460000000.0,15411000000.0,15030000000.0,14007000000.0,13715000000.0
Total Stockholder Equity,9551000000.0,9576000000.0,9829000000.0,9949000000.0,10721000000.0,11361000000.0,12018000000.0,11984000000.0
Other Current Liab,217000000.0,201000000.0,182000000.0,276000000.0,240000000.0,222000000.0,252000000.0,355000000.0
Total Assets,25662000000.0,25402000000.0,25552000000.0,25409000000.0,26132000000.0,26391000000.0,26025000000.0,25699000000.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,11984000000.0
Other Current Assets,551000000.0,558000000.0,744000000.0,710000000.0,514000000.0,576000000.0,614000000.0,659000000.0
Retained Earnings,6725000000.0,6658000000.0,6720000000.0,6917000000.0,7539000000.0,8149000000.0,8713000000.0,8738000000.0
Other Liab,2207000000.0,2105000000.0,2099000000.0,2070000000.0,1863000000.0,1757000000.0,1728000000.0,2231000000.0
Good Will,10067000000.0,10069000000.0,10071000000.0,10066000000.0,10066000000.0,10066000000.0,10065000000.0,10061000000.0
Treasury Stock,-894000000.0,-622000000.0,-440000000.0,-574000000.0,-429000000.0,-192000000.0,-217000000.0,-357000000.0
Other Assets,1891000000.0,1798000000.0,1954000000.0,1876000000.0,1836000000.0,1903000000.0,1834000000.0,2720000000.0
Cash,3048000000.0,2995000000.0,2956000000.0,2734000000.0,3370000000.0,3290000000.0,2531000000.0,2505000000.0
Total Current Liabilities,4406000000.0,4429000000.0,4526000000.0,4501000000.0,4870000000.0,4709000000.0,4929000000.0,4397000000.0
Short Long Term Debt,419000000.0,406000000.0,360000000.0,342000000.0,331000000.0,320000000.0,299000000.0,75000000.0
Other Stockholder Equity,-157000000.0,-101000000.0,-50000000.0,-210000000.0,-197000000.0,-167000000.0,-217000000.0,-357000000.0
Property Plant Equipment,3084000000.0,3125000000.0,3157000000.0,3293000000.0,3410000000.0,3576000000.0,3685000000.0,3488000000.0
Total Current Assets,9048000000.0,9005000000.0,9109000000.0,9032000000.0,9757000000.0,9856000000.0,9535000000.0,9178000000.0
Long Term Investments,631000000.0,647000000.0,665000000.0,623000000.0,621000000.0,626000000.0,606000000.0,570000000.0
Net Tangible Assets,-1457000000.0,-1251000000.0,-838000000.0,-636000000.0,213000000.0,931000000.0,1653000000.0,1671000000.0
Net Receivables,2379000000.0,2097000000.0,1833000000.0,1905000000.0,2257000000.0,2446000000.0,2743000000.0,2353000000.0
Long Term Debt,9289000000.0,9086000000.0,8882000000.0,8678000000.0,8474000000.0,8270000000.0,7057000000.0,7087000000.0
Inventory,3070000000.0,3355000000.0,3576000000.0,3683000000.0,3616000000.0,3544000000.0,3647000000.0,3661000000.0
Accounts Payable,2352000000.0,2353000000.0,2332000000.0,2204000000.0,2332000000.0,2274000000.0,2411000000.0,2232000000.0
