,2017-06-30,2018-06-29,2019-06-28,2020-07-03,2021-07-02,2022-07-01
Intangible Assets,3823000000.0,2680000000.0,1711000000.0,941000000.0,442000000.0,213000000.0
Capital Surplus,4506000000.0,4254000000.0,3851000000.0,3717000000.0,3608000000.0,3733000000.0
Total Liab,18442000000.0,17704000000.0,16403000000.0,16111000000.0,15411000000.0,14038000000.0
Total Stockholder Equity,11418000000.0,11531000000.0,9967000000.0,9551000000.0,10721000000.0,12221000000.0
Other Current Liab,195000000.0,196000000.0,271000000.0,214000000.0,503000000.0,1347000000.0
Total Assets,29860000000.0,29235000000.0,26370000000.0,25662000000.0,26132000000.0,26259000000.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
Other Current Assets,389000000.0,453000000.0,533000000.0,551000000.0,514000000.0,681000000.0
Retained Earnings,8633000000.0,8757000000.0,7449000000.0,6725000000.0,7539000000.0,9039000000.0
Other Liab,1180000000.0,2255000000.0,2340000000.0,2416000000.0,2067000000.0,1502000000.0
Good Will,10014000000.0,10075000000.0,10076000000.0,10067000000.0,10066000000.0,10041000000.0
Treasury Stock,-1724000000.0,-1483000000.0,-1336000000.0,-894000000.0,-429000000.0,-554000000.0
Other Assets,1171000000.0,2064000000.0,2644000000.0,2121000000.0,2058000000.0,2061000000.0
Cash,6354000000.0,5005000000.0,3455000000.0,3048000000.0,3370000000.0,2327000000.0
Total Current Liabilities,4344000000.0,4456000000.0,3817000000.0,4406000000.0,4870000000.0,5237000000.0
Other Stockholder Equity,-58000000.0,-39000000.0,-68000000.0,-157000000.0,-197000000.0,-554000000.0
Property Plant Equipment,3033000000.0,3095000000.0,2843000000.0,2854000000.0,3188000000.0,3970000000.0
Total Current Assets,11056000000.0,10638000000.0,8477000000.0,9048000000.0,9757000000.0,9453000000.0
Long Term Investments,763000000.0,683000000.0,619000000.0,631000000.0,621000000.0,521000000.0
Net Tangible Assets,-2419000000.0,-1224000000.0,-1820000000.0,-1457000000.0,213000000.0,1967000000.0
Net Receivables,1948000000.0,2197000000.0,1204000000.0,2379000000.0,2257000000.0,2804000000.0
Long Term Debt,12918000000.0,10993000000.0,10246000000.0,9289000000.0,8474000000.0,7022000000.0
Inventory,2341000000.0,2944000000.0,3283000000.0,3070000000.0,3616000000.0,3638000000.0
Accounts Payable,2350000000.0,2524000000.0,1898000000.0,2352000000.0,2332000000.0,2222000000.0
Short Long Term Debt,234000000.0,179000000.0,341000000.0,419000000.0,331000000.0,
Short Term Investments,24000000.0,23000000.0,,,,
