,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Change To Liabilities,-20988000.0,-4654000.0,53165000.0,31131000.0,6940000.0,-2292000.0,6921000.0,34500000.0,3000000.0,-36600000.0
Total Cashflows From Investing Activities,-6726000.0,-15159000.0,-16972000.0,-119534000.0,-489718000.0,-14917000.0,-73931000.0,-124400000.0,-135700000.0,35700000.0
Total Cash From Financing Activities,9852000.0,-22858000.0,-21794000.0,-40424000.0,104385000.0,-39412000.0,-34049000.0,-71300000.0,-125800000.0,-77500000.0
Change To Operating Activities,13459000.0,-2677000.0,-22280000.0,-8242000.0,9584000.0,22294000.0,11164000.0,-29000000.0,-11300000.0,48600000.0
Issuance Of Stock,11022000.0,15618000.0,15858000.0,3231000.0,7456000.0,1810000.0,7203000.0,1400000.0,3800000.0,3800000.0
Net Income,70864000.0,103848000.0,101068000.0,112708000.0,102195000.0,115742000.0,118755000.0,140000000.0,138200000.0,178700000.0
Change In Cash,177129000.0,131410000.0,148093000.0,-67709000.0,-243762000.0,92117000.0,48854000.0,-122200000.0,-175400000.0,122900000.0
Repurchase Of Stock,-1464000.0,-50000.0,-10000.0,-5460000.0,-74000.0,-146000.0,-420000.0,-31200000.0,-84100000.0,-36100000.0
Effect Of Exchange Rate,4550000.0,15741000.0,25485000.0,-17075000.0,5299000.0,-10187000.0,-6237000.0,-6200000.0,-26200000.0,-33400000.0
Total Cash From Operating Activities,169453000.0,153686000.0,161374000.0,109324000.0,136272000.0,156633000.0,163071000.0,79700000.0,112300000.0,198100000.0
Depreciation,20626000.0,21351000.0,21521000.0,21544000.0,24449000.0,26969000.0,30038000.0,27500000.0,29200000.0,29100000.0
Other Cashflows From Investing Activities,-476000.0,398000.0,52000.0,1100000.0,-4395000.0,-31000.0,526000.0,-100000.0,-100000.0,-100000.0
Dividends Paid,-37762000.0,-37750000.0,-37590000.0,-38149000.0,-41093000.0,-41047000.0,-40811000.0,-41400000.0,-45500000.0,-45300000.0
Change To Inventory,14188000.0,27449000.0,18603000.0,-7539000.0,-13397000.0,-7136000.0,-18028000.0,-50200000.0,-34300000.0,-15100000.0
Change To Account Receivables,58443000.0,-962000.0,-12418000.0,-46289000.0,32000.0,-12992000.0,9849000.0,-49000000.0,-19700000.0,6200000.0
Other Cashflows From Financing Activities,-11044000.0,-324000.0,-8000.0,-46000.0,-11284000.0,-29000.0,59000.0,-100000.0,100000.0,100000.0
Change To Netincome,12228000.0,8956000.0,1350000.0,5645000.0,5874000.0,13655000.0,4026000.0,5500000.0,6600000.0,-13400000.0
Capital Expenditures,-8323000.0,-18353000.0,-12107000.0,-14609000.0,-15984000.0,-14894000.0,-27213000.0,-16100000.0,-15600000.0,-16300000.0
Investments,,,,,-45200000.0,-45200000.0,-45200000.0,,,
Net Borrowings,49100000.0,-352000.0,-44000.0,149380000.0,149380000.0,-80000.0,-80000.0,,,
