,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
Capital Surplus,44400000.0,57800000.0,61900000.0,70000000.0,78400000.0
Total Liab,1302200000.0,1223000000.0,1231500000.0,1287700000.0,1285800000.0
Total Stockholder Equity,2783000000.0,2885600000.0,2733200000.0,2786700000.0,2880800000.0
Other Current Liab,102300000.0,,,47200000.0,1400000.0
Total Assets,4085200000.0,4108600000.0,3964700000.0,4074400000.0,4166600000.0
Common Stock,2900000.0,2900000.0,2900000.0,2900000.0,2900000.0
Other Current Assets,121800000.0,137800000.0,147000000.0,124000000.0,146700000.0
Retained Earnings,2788600000.0,2866700000.0,2689600000.0,2739400000.0,2818300000.0
Other Liab,107900000.0,102900000.0,102300000.0,102600000.0,103000000.0
Treasury Stock,-52900000.0,-41800000.0,-21200000.0,-25600000.0,-18800000.0
Other Assets,196400000.0,193800000.0,191400000.0,188600000.0,185900000.0
Cash,201500000.0,331800000.0,245700000.0,333900000.0,321800000.0
Total Current Liabilities,631300000.0,603000000.0,612700000.0,661200000.0,650200000.0
Short Long Term Debt,,40000000.0,40000000.0,40000000.0,40000000.0
Other Stockholder Equity,-52900000.0,-41800000.0,-21200000.0,-25600000.0,-18800000.0
Property Plant Equipment,1282500000.0,1268100000.0,1273700000.0,1271600000.0,1275400000.0
Total Current Assets,2606300000.0,2646700000.0,2499600000.0,2614200000.0,2705300000.0
Net Tangible Assets,2783000000.0,2885600000.0,2733200000.0,2786700000.0,2880800000.0
Net Receivables,881500000.0,834500000.0,769400000.0,851000000.0,908900000.0
Long Term Debt,405000000.0,365000000.0,365000000.0,365000000.0,365000000.0
Inventory,1401500000.0,1342600000.0,1337500000.0,1305300000.0,1327900000.0
Accounts Payable,194100000.0,210400000.0,207000000.0,215100000.0,236100000.0
