,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Change To Liabilities,-18000000.0,16300000.0,-3400000.0,8100000.0,21000000.0,20800000.0,-23800000.0,56800000.0,1900000.0,-14600000.0
Total Cashflows From Investing Activities,-37000000.0,-30100000.0,-42900000.0,-29900000.0,-31500000.0,-45600000.0,-41500000.0,-33200000.0,-43900000.0,-44500000.0
Net Borrowings,-50000000.0,,-40000000.0,-40000000.0,-40000000.0,-40000000.0,25000000.0,-25000000.0,140000000.0,50000000.0
Total Cash From Financing Activities,-174300000.0,-131400000.0,-370500000.0,-154200000.0,-153800000.0,-190200000.0,-128900000.0,-199500000.0,-85900000.0,-220800000.0
Change To Operating Activities,19400000.0,10200000.0,-6100000.0,10100000.0,-10400000.0,-14400000.0,-3800000.0,30700000.0,-1000000.0,-22400000.0
Issuance Of Stock,18900000.0,12000000.0,2700000.0,6600000.0,7000000.0,10800000.0,7200000.0,3900000.0,1900000.0,2000000.0
Net Income,238900000.0,221500000.0,196100000.0,210600000.0,239700000.0,243500000.0,231200000.0,269600000.0,287100000.0,284600000.0
Change In Cash,40800000.0,130300000.0,-86100000.0,88200000.0,-12100000.0,-71300000.0,-14300000.0,-2000000.0,13700000.0,-16400000.0
Repurchase Of Stock,,,,,,-49300000.0,-49300000.0,-49300000.0,-49300000.0,-95300000.0
Effect Of Exchange Rate,1400000.0,2800000.0,6300000.0,-2500000.0,1700000.0,-2900000.0,-300000.0,700000.0,-7700000.0,-9000000.0
Total Cash From Operating Activities,250700000.0,289000000.0,321000000.0,274800000.0,171500000.0,167400000.0,156400000.0,230000000.0,151200000.0,257900000.0
Depreciation,40700000.0,41100000.0,42000000.0,42000000.0,42300000.0,42800000.0,43600000.0,43900000.0,43900000.0,44100000.0
Other Cashflows From Investing Activities,1200000.0,-100000.0,-300000.0,100000.0,-100000.0,-100000.0,-300000.0,-100000.0,-500000.0,-100000.0
Dividends Paid,-143200000.0,-143400000.0,-143657143.0,-160800000.0,-160800000.0,-161000000.0,-161100000.0,-178400000.0,-178500000.0,-177500000.0
Change To Inventory,-51400000.0,63600000.0,13200000.0,31100000.0,-20500000.0,-77100000.0,-123000000.0,-76400000.0,-74200000.0,-26300000.0
Change To Account Receivables,-45800000.0,48400000.0,69100000.0,-82100000.0,-55900000.0,-44200000.0,47000000.0,-169900000.0,-39400000.0,-13600000.0
Change To Netincome,4100000.0,4800000.0,2200000.0,1100000.0,1100000.0,4100000.0,-13000000.0,5700000.0,500000.0,2800000.0
Capital Expenditures,-41200000.0,-33500000.0,-44600000.0,-32700000.0,-34600000.0,-47400000.0,-41900000.0,-35500000.0,-47500000.0,-48000000.0
