,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Intangible Assets,3345000000.0,3308000000.0,3887000000.0,3846000000.0,3824000000.0,3786000000.0,3748000000.0,3712000000.0,3672000000.0,
Capital Surplus,26087000000.0,26148000000.0,26542000000.0,26667000000.0,26844000000.0,26926000000.0,27061000000.0,27015000000.0,27261000000.0,
Total Liab,194042000000.0,191663000000.0,185517000000.0,183968000000.0,183927000000.0,178236000000.0,178903000000.0,184429000000.0,185142000000.0,
Total Stockholder Equity,39304000000.0,43341000000.0,45030000000.0,48343000000.0,51669000000.0,54150000000.0,59744000000.0,62095000000.0,63954000000.0,
Minority Interest,4189000000.0,4667000000.0,4647000000.0,6100000000.0,6207000000.0,6171000000.0,6071000000.0,4968000000.0,4421000000.0,
Other Current Liab,5834000000.0,5708000000.0,6180000000.0,6217000000.0,5999000000.0,6037000000.0,6230000000.0,1000000.0,-1000000.0,
Total Assets,237535000000.0,239671000000.0,235194000000.0,238411000000.0,241803000000.0,238557000000.0,244718000000.0,251492000000.0,253517000000.0,
Common Stock,14000000.0,14000000.0,14000000.0,14000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,
Other Current Assets,6669000000.0,4525000000.0,5217000000.0,4448000000.0,4574000000.0,3949000000.0,4105000000.0,4568000000.0,4196000000.0,
Retained Earnings,25104000000.0,29134000000.0,31962000000.0,34988000000.0,37806000000.0,40212000000.0,41937000000.0,43879000000.0,45554000000.0,
Other Liab,28028000000.0,28316000000.0,31657000000.0,30521000000.0,31439000000.0,31176000000.0,27824000000.0,26960000000.0,25944000000.0,
Treasury Stock,-11901000000.0,-11955000000.0,-13488000000.0,-13326000000.0,-12996000000.0,-13003000000.0,-9269000000.0,-8814000000.0,-8876000000.0,
Other Assets,29920000000.0,29233000000.0,28997000000.0,29012000000.0,28964000000.0,30488000000.0,30245000000.0,31061000000.0,30237000000.0,
Cash,21728000000.0,22239000000.0,14892000000.0,15309000000.0,18520000000.0,12465000000.0,16067000000.0,11849000000.0,11410000000.0,
Total Current Liabilities,77904000000.0,80603000000.0,79910000000.0,76323000000.0,74811000000.0,71951000000.0,74408000000.0,79555000000.0,79398000000.0,
Deferred Long Term Asset Charges,24654000000.0,23970000000.0,24136000000.0,23090000000.0,22408000000.0,22245000000.0,21152000000.0,21287000000.0,21038000000.0,
Other Stockholder Equity,-11901000000.0,-11955000000.0,-13488000000.0,-13326000000.0,-12996000000.0,-13003000000.0,-9269000000.0,-8814000000.0,-8876000000.0,
Property Plant Equipment,37066000000.0,36989000000.0,38632000000.0,37797000000.0,38822000000.0,39637000000.0,42215000000.0,41708000000.0,41943000000.0,
Total Current Assets,87497000000.0,89177000000.0,80924000000.0,82091000000.0,82609000000.0,77791000000.0,82103000000.0,88594000000.0,91094000000.0,
Long Term Investments,6240000000.0,6561000000.0,6825000000.0,7349000000.0,7178000000.0,7585000000.0,7960000000.0,8623000000.0,7973000000.0,
Net Tangible Assets,34022000000.0,38096000000.0,39800000000.0,43158000000.0,46500000000.0,49024000000.0,54657000000.0,57037000000.0,58941000000.0,
Short Term Investments,9254000000.0,9962000000.0,9046000000.0,7771000000.0,6211000000.0,6575000000.0,8609000000.0,9907000000.0,10124000000.0,
Net Receivables,7946000000.0,9939000000.0,8035000000.0,9126000000.0,8167000000.0,8091000000.0,7394000000.0,11946000000.0,12417000000.0,
Long Term Debt,31937000000.0,26160000000.0,15956000000.0,16124000000.0,16105000000.0,16058000000.0,16006000000.0,16977000000.0,17538000000.0,
Inventory,10280000000.0,10934000000.0,10235000000.0,12066000000.0,13102000000.0,14534000000.0,12988000000.0,14838000000.0,16859000000.0,
Accounts Payable,15154000000.0,20914000000.0,19928000000.0,20446000000.0,21431000000.0,18648000000.0,20391000000.0,25240000000.0,25890000000.0,
Good Will,600000000.0,600000000.0,,,,,,,,
