,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Intangible Assets,93551000000.0,93850000000.0,94754000000.0,94226000000.0,93686000000.0,92758000000.0,92945000000.0,91833000000.0,90093000000.0,87969000000.0
Total Liab,179931000000.0,180115000000.0,180851000000.0,183865000000.0,179958000000.0,179235000000.0,177896000000.0,177568000000.0,173961000000.0,172966000000.0
Total Stockholder Equity,83614000000.0,86176000000.0,90323000000.0,92575000000.0,94935000000.0,95782000000.0,96092000000.0,94693000000.0,91426000000.0,80296000000.0
Minority Interest,2433000000.0,2649000000.0,2695000000.0,2071000000.0,2111000000.0,2044000000.0,1917000000.0,1813000000.0,1645000000.0,1046000000.0
Other Current Liab,4203000000.0,4682000000.0,4669000000.0,4995000000.0,5279000000.0,4773000000.0,4862000000.0,4762000000.0,4535000000.0,4482000000.0
Total Assets,265978000000.0,268940000000.0,273869000000.0,278511000000.0,277004000000.0,277061000000.0,275905000000.0,274074000000.0,267032000000.0,254308000000.0
Common Stock,54000000.0,54000000.0,54000000.0,55000000.0,55000000.0,54000000.0,54000000.0,53000000.0,53000000.0,80296000000.0
Other Current Assets,3323000000.0,3352000000.0,3535000000.0,3502000000.0,3558000000.0,3647000000.0,4088000000.0,4201000000.0,5414000000.0,5803000000.0
Other Liab,45555000000.0,45442000000.0,42533000000.0,48950000000.0,50300000000.0,50806000000.0,44187000000.0,50297000000.0,49746000000.0,49391000000.0
Good Will,67354000000.0,68898000000.0,70669000000.0,70106000000.0,70429000000.0,69626000000.0,70189000000.0,69052000000.0,66486000000.0,56414000000.0
Other Assets,21758000000.0,21655000000.0,18106000000.0,24535000000.0,24171000000.0,25278000000.0,19368000000.0,25701000000.0,25155000000.0,25636000000.0
Cash,13935000000.0,13707000000.0,11740000000.0,14950000000.0,12378000000.0,11806000000.0,8711000000.0,8880000000.0,6822000000.0,5695000000.0
Total Current Liabilities,28445000000.0,29511000000.0,28796000000.0,30811000000.0,29314000000.0,26738000000.0,29348000000.0,29657000000.0,27585000000.0,27999000000.0
Short Long Term Debt,4046000000.0,4429000000.0,2936000000.0,4777000000.0,3407000000.0,695000000.0,2132000000.0,2117000000.0,2083000000.0,2047000000.0
Property Plant Equipment,48985000000.0,50466000000.0,55779000000.0,52317000000.0,52769000000.0,52809000000.0,60514000000.0,53820000000.0,53508000000.0,53555000000.0
Total Current Assets,27485000000.0,27369000000.0,26741000000.0,29438000000.0,27046000000.0,27427000000.0,24807000000.0,25381000000.0,24192000000.0,23416000000.0
Long Term Investments,6845000000.0,6702000000.0,7820000000.0,7889000000.0,8903000000.0,9163000000.0,8082000000.0,8287000000.0,7598000000.0,7318000000.0
Net Tangible Assets,-77291000000.0,-76572000000.0,-75100000000.0,-71757000000.0,-69180000000.0,-66602000000.0,-67042000000.0,-66192000000.0,-65153000000.0,-64087000000.0
Net Receivables,10227000000.0,10310000000.0,11466000000.0,10986000000.0,11110000000.0,11974000000.0,12008000000.0,12300000000.0,11956000000.0,11918000000.0
Long Term Debt,105931000000.0,105162000000.0,104991000000.0,104104000000.0,100344000000.0,101691000000.0,96175000000.0,97614000000.0,96630000000.0,95576000000.0
Accounts Payable,10426000000.0,10979000000.0,11364000000.0,11148000000.0,11672000000.0,12020000000.0,12455000000.0,12707000000.0,12304000000.0,12241000000.0
Capital Surplus,38936000000.0,39173000000.0,39464000000.0,39744000000.0,40046000000.0,40134000000.0,40173000000.0,39926000000.0,39852000000.0,
Deferred Long Term Liab,1040000000.0,1043000000.0,1060000000.0,1048000000.0,1022000000.0,1000000000.0,1094000000.0,1089000000.0,1066000000.0,
Retained Earnings,53420000000.0,54254000000.0,56438000000.0,58321000000.0,60359000000.0,61783000000.0,61902000000.0,61555000000.0,61209000000.0,
Treasury Stock,-8796000000.0,-7305000000.0,-5633000000.0,-5545000000.0,-5525000000.0,-6189000000.0,-6037000000.0,-6841000000.0,-9688000000.0,
Other Stockholder Equity,-1279000000.0,212000000.0,1884000000.0,1972000000.0,1992000000.0,1328000000.0,1480000000.0,676000000.0,-2171000000.0,
