,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Change To Liabilities,-25000000.0,181000000.0,23000000.0,-123000000.0,28000000.0,119000000.0
Total Cashflows From Investing Activities,-31000000.0,203000000.0,-66000000.0,14000000.0,-22000000.0,-115000000.0
Net Borrowings,177000000.0,-626000000.0,-375000000.0,-112000000.0,10000000.0,605000000.0
Total Cash From Financing Activities,10000000.0,-784000000.0,-762000000.0,-563000000.0,-403000000.0,85000000.0
Change To Operating Activities,-9000000.0,37000000.0,-3000000.0,-9000000.0,-2000000.0,6000000.0
Net Income,206000000.0,283000000.0,332000000.0,326000000.0,391000000.0,528000000.0
Change In Cash,138000000.0,-73000000.0,-351000000.0,-222000000.0,32000000.0,477000000.0
Repurchase Of Stock,-239000000.0,-239000000.0,-239000000.0,-286000000.0,-244000000.0,-327000000.0
Effect Of Exchange Rate,35000000.0,17000000.0,25000000.0,3000000.0,8000000.0,-12000000.0
Total Cash From Operating Activities,124000000.0,491000000.0,452000000.0,324000000.0,449000000.0,519000000.0
Depreciation,26000000.0,47000000.0,46000000.0,39000000.0,39000000.0,39000000.0
Other Cashflows From Investing Activities,19000000.0,19000000.0,-11000000.0,39000000.0,-6000000.0,-66000000.0
Dividends Paid,-142000000.0,-142000000.0,-141000000.0,-150000000.0,-149000000.0,-147000000.0
Change To Account Receivables,-21000000.0,42000000.0,16000000.0,27000000.0,-2000000.0,-25000000.0
Other Cashflows From Financing Activities,-25000000.0,-16000000.0,-7000000.0,-15000000.0,-20000000.0,-46000000.0
Change To Netincome,-15000000.0,4000000.0,-4000000.0,59000000.0,25000000.0,-128000000.0
Capital Expenditures,-32000000.0,-32000000.0,-61000000.0,-45000000.0,-39000000.0,-54000000.0
Investments,206000000.0,206000000.0,,,,
