,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Investments,,,,-30000000.0,-30000000.0,-30000000.0,-30000000.0,-102000000.0,-386000000.0,-90000000.0,-988000000.0
Change To Liabilities,-212000000.0,-180000000.0,1275000000.0,1540000000.0,834000000.0,1037000000.0,1345000000.0,2155000000.0,1284000000.0,770000000.0,3461000000.0
Total Cashflows From Investing Activities,-480000000.0,-566000000.0,-1039000000.0,-1047000000.0,-2582000000.0,-1515000000.0,-1855000000.0,-1916000000.0,-2167000000.0,-884000000.0,-2791000000.0
Net Borrowings,287000000.0,111000000.0,-581000000.0,-2305000000.0,-1162000000.0,-1588000000.0,-1526000000.0,-1456000000.0,-2068000000.0,-402000000.0,-899000000.0
Total Cash From Financing Activities,2708000000.0,123000000.0,4450000000.0,2692000000.0,-1016000000.0,-1549000000.0,-1381000000.0,-1257000000.0,-1914000000.0,-406000000.0,-712000000.0
Change To Operating Activities,-240000000.0,-290000000.0,-259000000.0,-376000000.0,-716000000.0,-521000000.0,-993000000.0,-784000000.0,-844000000.0,-733000000.0,-737000000.0
Issuance Of Stock,2469000000.0,57000000.0,5117000000.0,5043000000.0,183000000.0,70000000.0,192000000.0,262000000.0,202000000.0,43000000.0,229000000.0
Net Income,16000000.0,104000000.0,331000000.0,270000000.0,438000000.0,1142000000.0,1618000000.0,2321000000.0,3318000000.0,2259000000.0,3292000000.0
Change In Cash,1764000000.0,559000000.0,5897000000.0,4898000000.0,-2178000000.0,-898000000.0,-131000000.0,1450000000.0,-104000000.0,847000000.0,1262000000.0
Effect Of Exchange Rate,-24000000.0,38000000.0,86000000.0,234000000.0,-221000000.0,42000000.0,-42000000.0,38000000.0,-18000000.0,-214000000.0,-335000000.0
Total Cash From Operating Activities,-440000000.0,964000000.0,2400000000.0,3019000000.0,1641000000.0,2124000000.0,3147000000.0,4585000000.0,3995000000.0,2351000000.0,5100000000.0
Depreciation,553000000.0,567000000.0,584000000.0,618000000.0,621000000.0,681000000.0,761000000.0,848000000.0,880000000.0,922000000.0,956000000.0
Change To Inventory,-981000000.0,446000000.0,-67000000.0,180000000.0,-106000000.0,-581000000.0,-488000000.0,-534000000.0,-633000000.0,-1559000000.0,-2300000000.0
Change To Account Receivables,-14000000.0,-222000000.0,-314000000.0,-102000000.0,-24000000.0,-259000000.0,135000000.0,18000000.0,-409000000.0,176000000.0,-193000000.0
Other Cashflows From Financing Activities,-48000000.0,-45000000.0,-86000000.0,-46000000.0,-37000000.0,-31000000.0,-47000000.0,-63000000.0,-48000000.0,-47000000.0,-42000000.0
Change To Netincome,392000000.0,491000000.0,800000000.0,853000000.0,594000000.0,625000000.0,769000000.0,561000000.0,399000000.0,516000000.0,621000000.0
Capital Expenditures,-481000000.0,-566000000.0,-1021000000.0,-1164000000.0,-2860000000.0,-1515000000.0,-1825000000.0,-1814000000.0,-1772000000.0,-1730000000.0,-1803000000.0
Other Cashflows From Investing Activities,1000000.0,122000000.0,122000000.0,122000000.0,6000000.0,,936000000.0,936000000.0,936000000.0,936000000.0,
