,2020-08-31,2019-08-31,2018-08-31,2017-08-31
Investments,-17689000.0,-23027000.0,-61398000.0,-60983000.0
Change To Liabilities,-123475000.0,435253000.0,8882000.0,134758000.0
Total Cashflows From Investing Activities,-1894519000.0,-1755576000.0,-1249604000.0,-2233879000.0
Net Borrowings,-6719000.0,-4772000.0,-4195000.0,-2120000.0
Total Cash From Financing Activities,-4049092000.0,-3767171000.0,-3709028000.0,-3560235000.0
Change To Operating Activities,-521398000.0,232541000.0,324793000.0,-521224000.0
Issuance Of Stock,954294000.0,847411000.0,738442000.0,650261000.0
Net Income,5107839000.0,4779112000.0,4059907000.0,3445149000.0
Change In Cash,2288477000.0,1065493000.0,934500000.0,-778749000.0
Repurchase Of Stock,-2915847000.0,-2691114000.0,-2639094000.0,-2649051000.0
Effect Of Exchange Rate,16936000.0,-38713000.0,-133559000.0,42326000.0
Total Cash From Operating Activities,8215152000.0,6626953000.0,6026691000.0,4973039000.0
Depreciation,721718000.0,617946000.0,593658000.0,512234000.0
Other Cashflows From Investing Activities,5819000.0,8553000.0,8553000.0,8553000.0
Dividends Paid,-2035198000.0,-1861725000.0,-1671072000.0,-1498734000.0
Change To Account Receivables,721500000.0,-526297000.0,-710804000.0,-73322000.0
Other Cashflows From Financing Activities,-45622000.0,-56971000.0,-133109000.0,-60591000.0
Change To Netincome,1953090000.0,976500000.0,1233204000.0,1170168000.0
Capital Expenditures,-599132000.0,-599009000.0,-619187000.0,-515919000.0
