,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-1586000000.0,649000000.0,315000000.0,-7891000000.0,2381000000.0
Change To Liabilities,1638000000.0,198000000.0,685000000.0,123000000.0,4176000000.0
Total Cashflows From Investing Activities,-5266000000.0,-4393000000.0,-4563000000.0,-9238000000.0,-898000000.0
Net Borrowings,1832000000.0,700000000.0,148000000.0,20162000000.0,-3932000000.0
Total Cash From Financing Activities,-730000000.0,-1726000000.0,-2880000000.0,19356000000.0,-3852000000.0
Change To Operating Activities,-108000000.0,59000000.0,449000000.0,-255000000.0,-367000000.0
Net Income,3205000000.0,3935000000.0,4767000000.0,-12385000000.0,280000000.0
Change In Cash,-973000000.0,895000000.0,982000000.0,6325000000.0,-1486000000.0
Repurchase Of Stock,-1677000000.0,-1575000000.0,-2027000000.0,-344000000.0,
Total Cash From Operating Activities,5023000000.0,7014000000.0,8425000000.0,-3793000000.0,3264000000.0
Depreciation,2035000000.0,2124000000.0,2342000000.0,1986000000.0,1697000000.0
Other Cashflows From Investing Activities,211000000.0,126000000.0,58000000.0,552000000.0,-32000000.0
Dividends Paid,-731000000.0,-909000000.0,-980000000.0,-260000000.0,
Change To Inventory,-397000000.0,324000000.0,-139000000.0,354000000.0,-318000000.0
Change To Account Receivables,-428000000.0,108000000.0,-775000000.0,1168000000.0,-981000000.0
Other Cashflows From Financing Activities,-154000000.0,58000000.0,-21000000.0,-202000000.0,80000000.0
Change To Netincome,-1109000000.0,61000000.0,857000000.0,4912000000.0,-1524000000.0
Capital Expenditures,-3891000000.0,-5168000000.0,-4936000000.0,-1899000000.0,-3247000000.0
