,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Intangible Assets,6017000000.0,6014000000.0,6011000000.0,6009000000.0,6006000000.0,6004000000.0
Capital Surplus,11192000000.0,11241000000.0,11259000000.0,11326000000.0,11396000000.0,11428000000.0
Total Liab,63571000000.0,75719000000.0,70462000000.0,72601000000.0,74028000000.0,70177000000.0
Total Stockholder Equity,8690000000.0,3357000000.0,1534000000.0,482000000.0,1281000000.0,2606000000.0
Other Current Liab,8094000000.0,6969000000.0,5830000000.0,7544000000.0,11355000000.0,8865000000.0
Total Assets,72261000000.0,79076000000.0,71996000000.0,73083000000.0,75309000000.0,72783000000.0
Other Current Assets,125000000.0,192000000.0,192000000.0,213000000.0,172000000.0,162000000.0
Retained Earnings,5706000000.0,327000000.0,-428000000.0,-1605000000.0,-953000000.0,259000000.0
Other Liab,18638000000.0,20313000000.0,21397000000.0,20284000000.0,18143000000.0,17988000000.0
Good Will,9753000000.0,9753000000.0,9753000000.0,9753000000.0,9753000000.0,9753000000.0
Treasury Stock,-8208000000.0,-8211000000.0,-9297000000.0,-9239000000.0,-9162000000.0,-9081000000.0
Other Assets,1797000000.0,4211000000.0,5764000000.0,5100000000.0,4580000000.0,3993000000.0
Cash,11366000000.0,16477000000.0,8307000000.0,8460000000.0,10357000000.0,8785000000.0
Total Current Liabilities,20150000000.0,19725000000.0,15927000000.0,20688000000.0,23573000000.0,20924000000.0
Deferred Long Term Asset Charges,,1305000000.0,1988000000.0,2306000000.0,2158000000.0,1813000000.0
Short Long Term Debt,4954000000.0,4738000000.0,1443000000.0,2671000000.0,2019000000.0,2024000000.0
Other Stockholder Equity,-7937000000.0,-7939000000.0,-9038000000.0,-8960000000.0,-8882000000.0,-8800000000.0
Property Plant Equipment,34123000000.0,32483000000.0,31379000000.0,32439000000.0,33161000000.0,33643000000.0
Total Current Assets,18915000000.0,25030000000.0,17404000000.0,17853000000.0,19666000000.0,17471000000.0
Long Term Investments,1656000000.0,1585000000.0,1685000000.0,1929000000.0,2143000000.0,1919000000.0
Net Tangible Assets,-7080000000.0,-12410000000.0,-14230000000.0,-15280000000.0,-14478000000.0,-13151000000.0
Short Term Investments,4302000000.0,5048000000.0,5789000000.0,5575000000.0,4873000000.0,4417000000.0
Net Receivables,1375000000.0,1503000000.0,1396000000.0,1837000000.0,2258000000.0,2183000000.0
Long Term Debt,18539000000.0,28910000000.0,26531000000.0,24802000000.0,25246000000.0,24077000000.0
Inventory,847000000.0,746000000.0,732000000.0,828000000.0,1005000000.0,1012000000.0
Accounts Payable,2332000000.0,2403000000.0,2840000000.0,3432000000.0,3930000000.0,4017000000.0
