,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Investments,-43000000.0,3000000.0,-39000000.0,-4000000.0,39000000.0,-33000000.0
Change To Liabilities,-15000000.0,32000000.0,-2000000.0,-26000000.0,0.0,-13000000.0
Total Cashflows From Investing Activities,-612000000.0,-320000000.0,-246000000.0,-587000000.0,-311000000.0,-425000000.0
Net Borrowings,247000000.0,-100000000.0,-27000000.0,261000000.0,-287000000.0,-408000000.0
Total Cash From Financing Activities,192000000.0,-182000000.0,-148000000.0,29000000.0,-421000000.0,-629000000.0
Change To Operating Activities,-104000000.0,40000000.0,-15000000.0,60000000.0,46000000.0,163000000.0
Net Income,-2393000000.0,-1113000000.0,-739000000.0,220000000.0,311000000.0,649000000.0
Change In Cash,-96000000.0,40000000.0,9000000.0,66000000.0,222000000.0,145000000.0
Repurchase Of Stock,-1000000.0,-39000000.0,-39000000.0,-24000000.0,-12000000.0,-49000000.0
Total Cash From Operating Activities,324000000.0,542000000.0,403000000.0,624000000.0,954000000.0,1199000000.0
Depreciation,344000000.0,288000000.0,270000000.0,273000000.0,341000000.0,341000000.0
Other Cashflows From Investing Activities,12000000.0,-19000000.0,-11000000.0,55000000.0,-15000000.0,14000000.0
Dividends Paid,-59000000.0,-59000000.0,-59000000.0,-68000000.0,-72000000.0,-81000000.0
Change To Account Receivables,54000000.0,36000000.0,-48000000.0,-137000000.0,-35000000.0,-135000000.0
Other Cashflows From Financing Activities,-23000000.0,-23000000.0,-23000000.0,-140000000.0,-50000000.0,-91000000.0
Change To Netincome,2441000000.0,1259000000.0,999000000.0,134000000.0,292000000.0,141000000.0
Capital Expenditures,-581000000.0,-306000000.0,-257000000.0,-296000000.0,-367000000.0,-828000000.0
Issuance Of Stock,5000000.0,,,,,
Change To Inventory,-1000000.0,,,,,
