,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Capital Surplus,10001000000.0,11530000000.0,10868000000.0,10076000000.0,10238000000.0
Total Liab,38332000000.0,33249000000.0,35326000000.0,37227000000.0,36757000000.0
Total Stockholder Equity,3925000000.0,6743000000.0,6975000000.0,7237000000.0,8675000000.0
Deferred Long Term Liab,40000000.0,91000000.0,99000000.0,82000000.0,71000000.0
Other Current Liab,2171000000.0,1355000000.0,1938000000.0,1158000000.0,1232000000.0
Total Assets,42257000000.0,40063000000.0,42301000000.0,44464000000.0,45432000000.0
Common Stock,44000000.0,51000000.0,54000000.0,54000000.0,57000000.0
Other Current Assets,683000000.0,87000000.0,85000000.0,67000000.0,104000000.0
Retained Earnings,-6262000000.0,-4879000000.0,-3967000000.0,-2888000000.0,-1605000000.0
Other Liab,15532000000.0,10864000000.0,10605000000.0,9829000000.0,9822000000.0
Good Will,5618000000.0,5618000000.0,5618000000.0,5618000000.0,5618000000.0
Treasury Stock,142000000.0,41000000.0,20000000.0,-5000000.0,-15000000.0
Other Assets,5173000000.0,1889000000.0,1177000000.0,1244000000.0,1172000000.0
Cash,588000000.0,367000000.0,627000000.0,1734000000.0,1462000000.0
Total Current Liabilities,4113000000.0,4634000000.0,4862000000.0,5004000000.0,4416000000.0
Short Long Term Debt,558000000.0,485000000.0,365000000.0,132000000.0,1593000000.0
Other Stockholder Equity,142000000.0,41000000.0,20000000.0,-5000000.0,-15000000.0
Property Plant Equipment,28101000000.0,29911000000.0,31881000000.0,33559000000.0,35023000000.0
Total Current Assets,3110000000.0,2392000000.0,2444000000.0,3714000000.0,3237000000.0
Long Term Investments,255000000.0,253000000.0,1181000000.0,329000000.0,382000000.0
Net Tangible Assets,-1693000000.0,1125000000.0,1357000000.0,1619000000.0,3057000000.0
Net Receivables,1452000000.0,1511000000.0,1294000000.0,1439000000.0,1279000000.0
Long Term Debt,18687000000.0,17696000000.0,19573000000.0,22100000000.0,22225000000.0
Inventory,236000000.0,252000000.0,281000000.0,317000000.0,260000000.0
Accounts Payable,827000000.0,965000000.0,1005000000.0,827000000.0,943000000.0
Intangible Assets,,,,,
