,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,22712000.0,38381000.0,-2391000.0,4627000.0,3993000.0,-2144000.0,5736000.0
Change To Liabilities,-316890000.0,138900000.0,55001000.0,223295000.0,109585000.0,-20365000.0,-32962000.0
Total Cashflows From Investing Activities,21208000.0,3908000.0,74786000.0,-27281000.0,-51426000.0,-41947000.0,-32420000.0
Net Borrowings,-687436000.0,-557442000.0,-766906000.0,-424470000.0,-185213000.0,-595000.0,1901439000.0
Total Cash From Financing Activities,-823435000.0,-692734000.0,-916530000.0,-606406000.0,-407669000.0,-420950000.0,1686618000.0
Change To Operating Activities,-42973000.0,6416000.0,26047000.0,57511000.0,23610000.0,-133710000.0,54307000.0
Issuance Of Stock,164000.0,989000.0,2148000.0,875000.0,672000.0,1089000.0,1112000.0
Net Income,295716000.0,321409000.0,447306000.0,471647000.0,505738000.0,451157000.0,387600000.0
Change In Cash,-12103000.0,56880000.0,-177660000.0,-75134000.0,243517000.0,-39535000.0,2243283000.0
Repurchase Of Stock,-21416000.0,-22739000.0,-38086000.0,-68706000.0,-89287000.0,-245820000.0,-73893000.0
Effect Of Exchange Rate,10034000.0,8332000.0,47470000.0,31136000.0,9016000.0,-997000.0,7975000.0
Total Cash From Operating Activities,780090000.0,737374000.0,616614000.0,527417000.0,693596000.0,424359000.0,581110000.0
Depreciation,146582000.0,148442000.0,149818000.0,150548000.0,146582000.0,145522000.0,144103000.0
Other Cashflows From Investing Activities,47638000.0,1054000.0,10129000.0,2937000.0,10624000.0,649000.0,2140000.0
Dividends Paid,-113341000.0,-113542000.0,-113686000.0,-113888000.0,-133394000.0,-132855000.0,-132701000.0
Change To Inventory,209183000.0,39918000.0,-44182000.0,-46886000.0,-34447000.0,-190779000.0,-52530000.0
Change To Account Receivables,405543000.0,15532000.0,64153000.0,-318567000.0,-59629000.0,74070000.0,75085000.0
Other Cashflows From Financing Activities,-1406000.0,-217000.0,-217000.0,-217000.0,-447000.0,-42769000.0,-9339000.0
Change To Netincome,32026000.0,68966000.0,-98982000.0,345000.0,-29627000.0,51872000.0,-10806000.0
Capital Expenditures,-50089000.0,-42117000.0,-50790000.0,-43157000.0,-73893000.0,-48203000.0,-57403000.0
