,2020-06-26,2020-09-25,2020-12-31,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30
Investments,-5793000000.0,76000000.0,5821000000.0,-91000000.0,2209000000.0,316000000.0,-1405000000.0,488000000.0,-133000000.0,-352000000.0
Change To Liabilities,0.0,0.0,-860000000.0,0.0,0.0,0.0,2843000000.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-5883000000.0,-105000000.0,5595000000.0,-281000000.0,2034000000.0,166000000.0,-4684000000.0,146000000.0,-1291000000.0,-1044000000.0
Net Borrowings,1741000000.0,-550000000.0,-10783000000.0,2544000000.0,-3749000000.0,16000000.0,1417000000.0,7000000.0,1433000000.0,-850000000.0
Total Cash From Financing Activities,235000000.0,-2072000000.0,-14043000000.0,364000000.0,-5326000000.0,-1629000000.0,-195000000.0,-2975000000.0,-975000000.0,-1128000000.0
Change To Operating Activities,43000000.0,824000000.0,1487000000.0,-1377000000.0,939000000.0,606000000.0,-760000000.0,-2468000000.0,542000000.0,667000000.0
Issuance Of Stock,32000000.0,70000000.0,133000000.0,183000000.0,159000000.0,151000000.0,209000000.0,449000000.0,203000000.0,55000000.0
Net Income,1779000000.0,1737000000.0,1456000000.0,2245000000.0,2641000000.0,2471000000.0,2414000000.0,2781000000.0,1905000000.0,2825000000.0
Change In Cash,-3536000000.0,1393000000.0,-4712000000.0,1701000000.0,697000000.0,2105000000.0,-1588000000.0,-2033000000.0,1323000000.0,1119000000.0
Repurchase Of Stock,-25000000.0,-25000000.0,-25000000.0,-104000000.0,-7000000.0,-7000000.0,-7000000.0,-546000000.0,-664000000.0,-202000000.0
Effect Of Exchange Rate,-118000000.0,136000000.0,112000000.0,-18000000.0,100000000.0,-138000000.0,-103000000.0,173000000.0,-334000000.0,-231000000.0
Total Cash From Operating Activities,2230000000.0,3434000000.0,3624000000.0,1636000000.0,3889000000.0,3706000000.0,3394000000.0,623000000.0,3923000000.0,3522000000.0
Depreciation,381000000.0,358000000.0,430000000.0,366000000.0,383000000.0,362000000.0,341000000.0,324000000.0,322000000.0,307000000.0
Other Cashflows From Investing Activities,88000000.0,3000000.0,79000000.0,17000000.0,24000000.0,40000000.0,-30000000.0,-354000000.0,-781000000.0,-393000000.0
Dividends Paid,-1761000000.0,-1761000000.0,-3525000000.0,-1810000000.0,-1813000000.0,-1814000000.0,-1815000000.0,-1906000000.0,-1904000000.0,-100000000.0
Other Cashflows From Financing Activities,223000000.0,169000000.0,157000000.0,-449000000.0,77000000.0,18000000.0,1000000.0,-979000000.0,-43000000.0,-31000000.0
Change To Netincome,27000000.0,515000000.0,146000000.0,402000000.0,-74000000.0,267000000.0,-518000000.0,-14000000.0,1154000000.0,-277000000.0
Capital Expenditures,-209000000.0,-223000000.0,-418000000.0,-216000000.0,-234000000.0,-278000000.0,-639000000.0,-217000000.0,-270000000.0,-289000000.0
Change To Inventory,99000000.0,99000000.0,99000000.0,,-135000000.0,-135000000.0,-135000000.0,,,
Change To Account Receivables,882000000.0,882000000.0,882000000.0,,-225000000.0,-225000000.0,-225000000.0,,,
