,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Intangible Assets,1519700000.0,1515100000.0,1513500000.0,1511900000.0,1531700000.0,1550500000.0,1872600000.0,1864100000.0
Capital Surplus,2170400000.0,3155800000.0,3167200000.0,3175200000.0,3178500000.0,3204400000.0,4239600000.0,4170400000.0
Total Liab,12816600000.0,12180300000.0,12011500000.0,12132400000.0,12120400000.0,12677300000.0,12775000000.0,14118400000.0
Total Stockholder Equity,1483100000.0,2610600000.0,2633100000.0,2732100000.0,2934100000.0,3046100000.0,4072000000.0,3934100000.0
Minority Interest,-1300000.0,-2000000.0,-400000.0,-500000.0,-500000.0,-500000.0,-700000.0,-800000.0
Other Current Liab,49600000.0,54000000.0,51100000.0,63100000.0,54400000.0,91600000.0,118900000.0,101600000.0
Total Assets,14321500000.0,14812000000.0,14667300000.0,14888200000.0,15078200000.0,15748700000.0,16872100000.0,18071100000.0
Common Stock,1400000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1700000.0,1700000.0
Other Current Assets,33200000.0,26300000.0,39000000.0,68300000.0,34800000.0,43700000.0,45200000.0,50300000.0
Retained Earnings,-660300000.0,-518400000.0,-507300000.0,-416300000.0,-217600000.0,-131500000.0,-86500000.0,-15900000.0
Other Liab,235600000.0,232200000.0,245700000.0,260900000.0,280200000.0,277500000.0,318100000.0,343300000.0
Good Will,1157700000.0,1157700000.0,1157100000.0,1157100000.0,1165600000.0,1175100000.0,2822500000.0,2847100000.0
Treasury Stock,-28400000.0,-28400000.0,-28400000.0,-28400000.0,-28400000.0,-28400000.0,-82800000.0,-222100000.0
Other Assets,124100000.0,130200000.0,133000000.0,135500000.0,144000000.0,157300000.0,157000000.0,156400000.0
Cash,1244300000.0,1873100000.0,1853800000.0,2062200000.0,2274700000.0,2729300000.0,1863900000.0,1805500000.0
Total Current Liabilities,827800000.0,921400000.0,860000000.0,947300000.0,958100000.0,1077700000.0,1133200000.0,1122900000.0
Short Long Term Debt,72100000.0,84800000.0,81400000.0,85800000.0,90400000.0,95100000.0,99500000.0,99500000.0
Other Stockholder Equity,,,,,,,-54400000.0,-18600000.0
Property Plant Equipment,9539300000.0,9425600000.0,9347000000.0,9269100000.0,9223500000.0,9397900000.0,9435200000.0,10771500000.0
Total Current Assets,1646600000.0,2186500000.0,2085000000.0,2347700000.0,2552400000.0,3039100000.0,2223600000.0,2113000000.0
Long Term Investments,334100000.0,396900000.0,431700000.0,466900000.0,461000000.0,428800000.0,361200000.0,319000000.0
Net Tangible Assets,-1194300000.0,-62200000.0,-37500000.0,63100000.0,236800000.0,320500000.0,-623100000.0,-777100000.0
Net Receivables,312000000.0,237600000.0,88700000.0,137500000.0,138500000.0,154100000.0,182200000.0,122900000.0
Long Term Debt,3044800000.0,2355700000.0,2231200000.0,2289500000.0,2269900000.0,2654400000.0,2637300000.0,2694300000.0
Accounts Payable,30600000.0,64400000.0,33200000.0,26700000.0,38300000.0,36700000.0,53300000.0,45500000.0
