,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-500000.0,18900000.0,-5500000.0,-140400000.0,-27400000.0
Change To Liabilities,-400000.0,-6100000.0,4400000.0,-6600000.0,-30400000.0
Total Cashflows From Investing Activities,-221600000.0,-1423100000.0,-607500000.0,-233700000.0,-1221800000.0
Net Borrowings,-176600000.0,1123100000.0,-79700000.0,-11300000.0,291000000.0
Total Cash From Financing Activities,-207000000.0,1272100000.0,-122400000.0,1310100000.0,339900000.0
Change To Operating Activities,96600000.0,-39000000.0,-88000000.0,-118700000.0,13100000.0
Issuance Of Stock,10400000.0,7400000.0,1900000.0,1389800000.0,10800000.0
Net Income,473400000.0,93500000.0,43900000.0,-669500000.0,420800000.0
Change In Cash,49200000.0,201800000.0,-26000000.0,1415200000.0,9700000.0
Effect Of Exchange Rate,,-4500000.0,-4500000.0,-4500000.0,-4500000.0
Total Cash From Operating Activities,477800000.0,352800000.0,703900000.0,338800000.0,896100000.0
Depreciation,267100000.0,269000000.0,414200000.0,366700000.0,344500000.0
Other Cashflows From Investing Activities,-700000.0,-400000.0,959100000.0,35400000.0,-8000000.0
Change To Account Receivables,-9200000.0,-1800000.0,27000000.0,-16500000.0,-82300000.0
Other Cashflows From Financing Activities,-16000000.0,191600000.0,-19700000.0,-68400000.0,38100000.0
Change To Netincome,-377100000.0,34100000.0,301900000.0,799600000.0,197400000.0
Capital Expenditures,-99300000.0,-92600000.0,-190600000.0,-137000000.0,-244100000.0
Repurchase Of Stock,-24800000.0,-50000000.0,-24900000.0,,
