,2017-08-26,2018-08-25,2019-08-31,2020-08-29,2021-08-28,2022-08-27
Capital Surplus,1086671000.0,1155426000.0,1264448000.0,1283495000.0,1465669000.0,1354252000.0
Total Liab,10688158000.0,10867335000.0,11609764000.0,15301849000.0,16313735000.0,18813956000.0
Total Stockholder Equity,-1428377000.0,-1520355000.0,-1713851000.0,-877977000.0,-1797536000.0,-3538913000.0
Other Current Liab,143004000.0,140302000.0,160893000.0,216907000.0,246266000.0,216668000.0
Total Assets,9259781000.0,9346980000.0,9895913000.0,14423872000.0,14516199000.0,15275043000.0
Common Stock,287000.0,275000.0,254000.0,237000.0,230000.0,207000.0
Other Current Assets,136593000.0,156795000.0,156319000.0,146883000.0,179756000.0,170946000.0
Retained Earnings,-1642387000.0,-1208824000.0,-1305347000.0,-1450970000.0,-419829000.0,-1330067000.0
Other Liab,840619000.0,730714000.0,767620000.0,847972000.0,855197000.0,1048070000.0
Good Will,391887000.0,302645000.0,302645000.0,302645000.0,302645000.0,302645000.0
Treasury Stock,-872948000.0,-1467232000.0,-1673206000.0,-710739000.0,-2843606000.0,-3563305000.0
Other Assets,90822000.0,105045000.0,89248000.0,147336000.0,154737000.0,192401000.0
Cash,293270000.0,217824000.0,176300000.0,1750815000.0,1171335000.0,264380000.0
Total Current Liabilities,4766301000.0,5028681000.0,5512141000.0,6283091000.0,7369754000.0,8588393000.0
Deferred Long Term Asset Charges,35308000.0,34620000.0,26861000.0,27843000.0,41043000.0,52047000.0
Other Stockholder Equity,-254557000.0,-235805000.0,-269322000.0,-354252000.0,-307986000.0,-300536000.0
Property Plant Equipment,4031018000.0,4218400000.0,4398751000.0,7090898000.0,7575603000.0,8089236000.0
Total Current Assets,4611255000.0,4635869000.0,5028685000.0,6811872000.0,6415303000.0,6627984000.0
Long Term Investments,82300000.0,75232000.0,70968000.0,71121000.0,67911000.0,62777000.0
Net Tangible Assets,-1872763000.0,-1832789000.0,-2022112000.0,-1180622000.0,-2100181000.0,-3841558000.0
Short Term Investments,18573000.0,59444000.0,67958000.0,76118000.0,46007000.0,49768000.0
Net Receivables,280733000.0,258136000.0,308995000.0,364774000.0,378392000.0,504886000.0
Long Term Debt,5081238000.0,5005930000.0,5206344000.0,5513371000.0,5269820000.0,6122092000.0
Inventory,3882086000.0,3943670000.0,4319113000.0,4473282000.0,4639813000.0,5638004000.0
Accounts Payable,4168940000.0,4409372000.0,4864912000.0,5156324000.0,6013924000.0,7301347000.0
Intangible Assets,52499000.0,9789000.0,5616000.0,,,
