,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-120000000.0,-99000000.0,-38000000.0,-408000000.0,-214000000.0,-337000000.0,-512000000.0
Change To Liabilities,-863000000.0,74000000.0,555000000.0,791000000.0,151000000.0,329000000.0,804000000.0
Total Cashflows From Investing Activities,-530000000.0,-216000000.0,-526000000.0,-477000000.0,-1240000000.0,-375000000.0,-992000000.0
Net Borrowings,1418000000.0,-562000000.0,-1101000000.0,1045000000.0,-645000000.0,-765000000.0,1046000000.0
Total Cash From Financing Activities,786000000.0,-1000000000.0,-1542000000.0,546000000.0,-1402000000.0,-2746000000.0,-586000000.0
Change To Operating Activities,-95000000.0,-223000000.0,-437000000.0,215000000.0,245000000.0,656000000.0,7000000.0
Issuance Of Stock,110000000.0,110000000.0,119000000.0,65000000.0,58000000.0,13000000.0,13000000.0
Net Income,458000000.0,668000000.0,780000000.0,1530000000.0,1413000000.0,1426000000.0,2120000000.0
Change In Cash,1661000000.0,528000000.0,47000000.0,1985000000.0,-509000000.0,-1393000000.0,-186000000.0
Repurchase Of Stock,-87000000.0,,-251000000.0,-251000000.0,-251000000.0,-1372000000.0,-1046000000.0
Effect Of Exchange Rate,14000000.0,10000000.0,43000000.0,-12000000.0,15000000.0,-12000000.0,-20000000.0
Total Cash From Operating Activities,1391000000.0,1734000000.0,2072000000.0,1928000000.0,2118000000.0,1740000000.0,1412000000.0
Depreciation,608000000.0,593000000.0,522000000.0,586000000.0,587000000.0,593000000.0,586000000.0
Other Cashflows From Investing Activities,-28000000.0,-87000000.0,14000000.0,-48000000.0,-15000000.0,55000000.0,87000000.0
Change To Inventory,396000000.0,6000000.0,105000000.0,-657000000.0,-522000000.0,-1016000000.0,-391000000.0
Change To Account Receivables,676000000.0,297000000.0,-31000000.0,-543000000.0,200000000.0,17000000.0,-933000000.0
Other Cashflows From Financing Activities,13000000.0,10000000.0,-2000000.0,-2000000.0,-2000000.0,-2000000.0,-599000000.0
Change To Netincome,211000000.0,319000000.0,578000000.0,6000000.0,44000000.0,-265000000.0,-781000000.0
Capital Expenditures,-450000000.0,-493000000.0,-624000000.0,-504000000.0,-596000000.0,-587000000.0,-785000000.0
Dividends Paid,-558000000.0,-558000000.0,-560000000.0,-562000000.0,-564000000.0,-607000000.0,
