,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Capital Surplus,47079000000.0,47113000000.0,47133000000.0,60278000000.0,60337000000.0,60431000000.0,60581000000.0,60907000000.0
Total Liab,31553000000.0,32374000000.0,32769000000.0,40538000000.0,41127000000.0,43189000000.0,45255000000.0,44090000000.0
Total Stockholder Equity,31493000000.0,30783000000.0,29849000000.0,43155000000.0,44276000000.0,44115000000.0,45406000000.0,49218000000.0
Other Current Liab,623000000.0,597000000.0,861000000.0,1180000000.0,2094000000.0,3763000000.0,4390000000.0,4636000000.0
Total Assets,63046000000.0,63157000000.0,62618000000.0,83693000000.0,85403000000.0,87304000000.0,90661000000.0,93308000000.0
Common Stock,18000000.0,18000000.0,18000000.0,21000000.0,21000000.0,21000000.0,21000000.0,21000000.0
Other Current Assets,427000000.0,380000000.0,325000000.0,326000000.0,780000000.0,1696000000.0,1348000000.0,1471000000.0
Retained Earnings,37351000000.0,36448000000.0,35213000000.0,35608000000.0,37116000000.0,38307000000.0,40674000000.0,45442000000.0
Other Liab,12596000000.0,12829000000.0,12094000000.0,14016000000.0,14172000000.0,13992000000.0,14021000000.0,14880000000.0
Treasury Stock,-52955000000.0,-52796000000.0,-52515000000.0,-52752000000.0,-53198000000.0,-54644000000.0,-55870000000.0,-57152000000.0
Other Assets,2539000000.0,2534000000.0,1996000000.0,2523000000.0,2501000000.0,2376000000.0,2036000000.0,2771000000.0
Cash,2907000000.0,2490000000.0,2991000000.0,2831000000.0,6608000000.0,9833000000.0,5028000000.0,6414000000.0
Total Current Liabilities,4105000000.0,4640000000.0,5366000000.0,7184000000.0,8150000000.0,10449000000.0,12021000000.0,11624000000.0
Short Long Term Debt,146000000.0,482000000.0,451000000.0,689000000.0,1205000000.0,920000000.0,920000000.0,1160000000.0
Other Stockholder Equity,-5825000000.0,-5666000000.0,-5218000000.0,-5080000000.0,-4920000000.0,-5123000000.0,-4950000000.0,-4808000000.0
Property Plant Equipment,41120000000.0,41269000000.0,40676000000.0,58270000000.0,57717000000.0,56689000000.0,65560000000.0,64642000000.0
Total Current Assets,11053000000.0,11059000000.0,12066000000.0,14614000000.0,17172000000.0,20181000000.0,16050000000.0,17586000000.0
Long Term Investments,8334000000.0,8295000000.0,7880000000.0,8286000000.0,8013000000.0,8058000000.0,7015000000.0,8309000000.0
Net Tangible Assets,31493000000.0,30783000000.0,29849000000.0,43155000000.0,44276000000.0,44115000000.0,45406000000.0,49218000000.0
Short Term Investments,4956000000.0,4841000000.0,4865000000.0,5668000000.0,4053000000.0,2094000000.0,1563000000.0,730000000.0
Net Receivables,1532000000.0,2119000000.0,2754000000.0,4481000000.0,4524000000.0,5465000000.0,6670000000.0,7879000000.0
Long Term Debt,14010000000.0,14000000000.0,14027000000.0,18465000000.0,17930000000.0,17895000000.0,17753000000.0,17586000000.0
Inventory,982000000.0,1034000000.0,1002000000.0,1098000000.0,1138000000.0,1043000000.0,1208000000.0,1174000000.0
Accounts Payable,2060000000.0,2217000000.0,2698000000.0,3779000000.0,3613000000.0,4131000000.0,5025000000.0,4897000000.0
