,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-16742000.0,-17381000.0,107321000.0,-163020000.0,-29234000.0,-67325000.0,-21552000.0
Change To Liabilities,8304000.0,4322000.0,-9401000.0,13513000.0,-722000.0,17241000.0,2894000.0
Total Cashflows From Investing Activities,-31663000.0,-37316000.0,94260000.0,-182866000.0,-69342000.0,-86930000.0,-39748000.0
Total Cash From Financing Activities,-26270000.0,-19312000.0,-21919000.0,-10993000.0,-27156000.0,-24808000.0,-27249000.0
Change To Operating Activities,19742000.0,26405000.0,5797000.0,16961000.0,-271000.0,21398000.0,-14126000.0
Issuance Of Stock,2352000.0,4274000.0,2310000.0,13037000.0,2176000.0,4604000.0,2175000.0
Net Income,30167000.0,55566000.0,42887000.0,45413000.0,55169000.0,68770000.0,72671000.0
Change In Cash,1605000.0,22987000.0,155483000.0,-116584000.0,1845000.0,5879000.0,-36822000.0
Effect Of Exchange Rate,208000.0,2209000.0,3494000.0,218000.0,1397000.0,-184000.0,1969000.0
Total Cash From Operating Activities,59330000.0,77406000.0,79648000.0,77057000.0,96946000.0,117801000.0,28206000.0
Depreciation,4501000.0,4956000.0,5401000.0,5529000.0,7120000.0,7727000.0,8323000.0
Other Cashflows From Investing Activities,-337000.0,-341000.0,-1580000.0,-876000.0,-810000.0,-231000.0,-625000.0
Dividends Paid,-24840000.0,-23210000.0,-23309000.0,-23467000.0,-28755000.0,-28503000.0,-28639000.0
Change To Inventory,-20586000.0,4047000.0,-8970000.0,-18151000.0,-2086000.0,-30731000.0,-51355000.0
Change To Account Receivables,-793000.0,-38398000.0,26703000.0,-17236000.0,6517000.0,-2314000.0,-24943000.0
Other Cashflows From Financing Activities,-3782000.0,-376000.0,-920000.0,-563000.0,-577000.0,-909000.0,-785000.0
Change To Netincome,18091000.0,22252000.0,14679000.0,29228000.0,31379000.0,33262000.0,27059000.0
Capital Expenditures,-14584000.0,-19622000.0,-11481000.0,-18970000.0,-39298000.0,-18581000.0,-17596000.0
