,2017-06-30,2018-06-30,2019-06-30,2020-06-30,2021-06-30,2022-06-30
Investments,-13000000.0,-338000000.0,-338000000.0,246000000.0,-86000000.0,-28000000.0
Change To Liabilities,-217000000.0,-193000000.0,231000000.0,-87000000.0,282000000.0,-54000000.0
Total Cashflows From Investing Activities,-242000000.0,128000000.0,-637000000.0,-1100000000.0,-528000000.0,-513000000.0
Net Borrowings,6750000000.0,6750000000.0,6750000000.0,1191000000.0,-750000000.0,-750000000.0
Total Cash From Financing Activities,-1431000000.0,1036000000.0,-1153000000.0,146000000.0,-870000000.0,-2057000000.0
Change To Operating Activities,,-98000000.0,-98000000.0,-98000000.0,-224000000.0,-249000000.0
Net Income,1372000000.0,2187000000.0,1595000000.0,999000000.0,2150000000.0,1205000000.0
Change In Cash,-18000000.0,2481000000.0,734000000.0,1411000000.0,1241000000.0,-686000000.0
Repurchase Of Stock,-600000000.0,-600000000.0,-600000000.0,-600000000.0,-1001000000.0,-1000000000.0
Total Cash From Operating Activities,1655000000.0,1317000000.0,2524000000.0,2365000000.0,2639000000.0,1884000000.0
Depreciation,226000000.0,224000000.0,250000000.0,282000000.0,322000000.0,381000000.0
Other Cashflows From Investing Activities,-38000000.0,-11000000.0,-64000000.0,14000000.0,-18000000.0,-18000000.0
Dividends Paid,-35000000.0,-41000000.0,-188000000.0,-335000000.0,-330000000.0,-307000000.0
Change To Inventory,21000000.0,-228000000.0,197000000.0,181000000.0,190000000.0,-301000000.0
Change To Account Receivables,-172000000.0,-166000000.0,-166000000.0,224000000.0,-269000000.0,-79000000.0
Change To Netincome,425000000.0,-507000000.0,515000000.0,864000000.0,188000000.0,981000000.0
Capital Expenditures,-191000000.0,-215000000.0,-235000000.0,-359000000.0,-484000000.0,-307000000.0
Other Cashflows From Financing Activities,-1396000000.0,1077000000.0,-7715000000.0,-110000000.0,461000000.0,
